id,celltype_id,sample_id
290,7,SAM000000044
291,8,SAM000000044
292,4,SAM000000044
293,3,SAM000000044
294,5,SAM000000044
295,13,SAM000000044
296,11,SAM000000044
297,19,SAM000000044
298,9,SAM000000044
299,6,SAM000000044
300,13,SAM000000045
301,10,SAM000000046
302,6,SAM000000046
303,8,SAM000000046
304,12,SAM000000046
305,10,SAM000000045
306,12,SAM000000045
307,7,SAM000000045
308,20,SAM000000048
309,1,SAM000000048
310,10,SAM000000051
311,3,SAM000000051
312,5,SAM000000051
313,7,SAM000000051
314,11,SAM000000051
315,12,SAM000000051
316,8,SAM000000051
317,6,SAM000000051
318,13,SAM000000051
319,4,SAM000000051
320,23,SAM000000052
321,4,SAM000000052
322,7,SAM000000052
323,5,SAM000000052
324,3,SAM000000052
325,2,SAM000000052
326,8,SAM000000052
327,1,SAM000000052
328,11,SAM000000052
329,10,SAM000000052
330,13,SAM000000052
331,2,SAM000000051
332,23,SAM000000051
333,15,SAM000000048
334,12,SAM000000048
335,7,SAM000000048
336,11,SAM000000048
337,10,SAM000000048
338,4,SAM000000048
339,2,SAM000000048
340,8,SAM000000048
341,6,SAM000000048
342,3,SAM000000048
343,13,SAM000000048
344,6,SAM000000043
345,8,SAM000000050
346,10,SAM000000050
347,3,SAM000000050
348,5,SAM000000050
349,12,SAM000000050
350,11,SAM000000050
351,4,SAM000000050
352,7,SAM000000050
353,6,SAM000000050
354,17,SAM000000050
355,22,SAM000000050
356,5,SAM000000043
357,13,SAM000000043
358,11,SAM000000043
359,8,SAM000000034
360,4,SAM000000034
361,7,SAM000000034
362,11,SAM000000034
363,6,SAM000000034
364,3,SAM000000034
365,5,SAM000000034
366,9,SAM000000034
367,20,SAM000000034
368,10,SAM000000034
369,12,SAM000000034
370,13,SAM000000034
371,2,SAM000000036
372,6,SAM000000036
373,8,SAM000000036
374,1,SAM000000036
375,13,SAM000000036
376,7,SAM000000036
377,14,SAM000000036
378,13,SAM000000033
379,4,SAM000000033
380,12,SAM000000033
381,2,SAM000000032
382,5,SAM000000032
383,11,SAM000000032
384,6,SAM000000032
385,20,SAM000000030
386,15,SAM000000030
387,10,SAM000000030
388,14,SAM000000030
389,13,SAM000000030
390,8,SAM000000032
391,4,SAM000000032
392,11,SAM000000033
393,10,SAM000000033
394,3,SAM000000033
395,5,SAM000000033
396,8,SAM000000033
397,9,SAM000000033
398,13,SAM000000032
399,10,SAM000000032
400,7,SAM000000032
401,3,SAM000000032
402,6,SAM000000052
403,5,SAM000000036
404,16,SAM000000042
405,1,SAM000000042
406,18,SAM000000042
407,4,SAM000000041
408,7,SAM000000041
409,14,SAM000000042
410,6,SAM000000042
411,8,SAM000000042
412,11,SAM000000042
413,19,SAM000000043
414,7,SAM000000043
415,8,SAM000000043
416,4,SAM000000043
417,10,SAM000000043
418,9,SAM000000043
419,5,SAM000000042
420,10,SAM000000042
421,4,SAM000000042
422,2,SAM000000042
423,8,SAM000000041
424,11,SAM000000041
425,11,SAM000000038
426,10,SAM000000038
427,4,SAM000000038
428,7,SAM000000038
429,12,SAM000000038
430,11,SAM000000037
431,7,SAM000000037
432,4,SAM000000037
433,12,SAM000000037
434,10,SAM000000037
435,3,SAM000000041
436,10,SAM000000041
437,13,SAM000000041
438,12,SAM000000041
439,6,SAM000000041
440,1,SAM000000041
441,9,SAM000000041
442,2,SAM000000041
443,5,SAM000000041
444,20,SAM000000041
445,12,SAM000000052
446,2,SAM000000070
447,6,SAM000000070
448,1,SAM000000070
449,5,SAM000000070
450,2,SAM000000068
451,11,SAM000000070
452,8,SAM000000072
453,2,SAM000000072
454,10,SAM000000072
455,11,SAM000000072
456,1,SAM000000072
457,4,SAM000000070
458,10,SAM000000070
459,8,SAM000000070
460,12,SAM000000070
461,12,SAM000000068
462,10,SAM000000067
463,12,SAM000000067
464,7,SAM000000067
465,4,SAM000000067
466,8,SAM000000067
467,17,SAM000000067
468,1,SAM000000067
469,11,SAM000000067
470,2,SAM000000067
471,5,SAM000000067
472,4,SAM000000068
473,8,SAM000000068
474,5,SAM000000068
475,1,SAM000000068
476,11,SAM000000068
477,6,SAM000000072
478,4,SAM000000072
479,11,SAM000000076
480,1,SAM000000077
481,8,SAM000000076
482,4,SAM000000076
483,5,SAM000000076
484,1,SAM000000076
485,6,SAM000000077
486,10,SAM000000077
487,11,SAM000000077
488,4,SAM000000077
489,2,SAM000000077
490,6,SAM000000076
491,2,SAM000000076
492,2,SAM000000074
493,5,SAM000000074
494,5,SAM000000072
495,7,SAM000000072
496,12,SAM000000072
497,1,SAM000000074
498,12,SAM000000066
499,9,SAM000000074
500,12,SAM000000074
501,8,SAM000000074
502,11,SAM000000074
503,4,SAM000000074
504,6,SAM000000074
505,2,SAM000000066
506,1,SAM000000057
507,16,SAM000000057
508,5,SAM000000057
509,4,SAM000000057
510,7,SAM000000057
511,6,SAM000000057
512,3,SAM000000057
513,8,SAM000000057
514,11,SAM000000057
515,10,SAM000000057
516,10,SAM000000058
517,2,SAM000000058
518,5,SAM000000058
519,16,SAM000000058
520,4,SAM000000058
521,8,SAM000000058
522,9,SAM000000058
523,13,SAM000000057
524,15,SAM000000057
525,2,SAM000000057
526,14,SAM000000056
527,2,SAM000000056
528,21,SAM000000053
529,23,SAM000000053
530,4,SAM000000053
531,5,SAM000000053
532,3,SAM000000053
533,7,SAM000000053
534,18,SAM000000053
535,2,SAM000000053
536,14,SAM000000053
537,16,SAM000000053
538,6,SAM000000053
539,11,SAM000000053
540,13,SAM000000056
541,5,SAM000000056
542,4,SAM000000056
543,6,SAM000000056
544,11,SAM000000056
545,8,SAM000000056
546,3,SAM000000056
547,10,SAM000000053
548,13,SAM000000053
549,8,SAM000000053
550,9,SAM000000063
551,11,SAM000000063
552,3,SAM000000063
553,18,SAM000000063
554,5,SAM000000063
555,4,SAM000000063
556,8,SAM000000063
557,10,SAM000000063
558,1,SAM000000066
559,8,SAM000000066
560,7,SAM000000063
561,13,SAM000000063
562,12,SAM000000063
563,15,SAM000000063
564,19,SAM000000063
565,6,SAM000000063
566,2,SAM000000063
567,4,SAM000000059
568,10,SAM000000059
569,12,SAM000000059
570,1,SAM000000058
571,6,SAM000000058
572,3,SAM000000058
573,12,SAM000000058
574,7,SAM000000059
575,1,SAM000000063
576,10,SAM000000061
577,7,SAM000000061
578,11,SAM000000061
579,4,SAM000000061
580,2,SAM000000061
581,12,SAM000000061
582,11,SAM000000059
583,14,SAM000000014
584,5,SAM000000013
585,15,SAM000000031
586,13,SAM000000031
587,7,SAM000000031
588,2,SAM000000031
589,10,SAM000000031
590,4,SAM000000031
591,11,SAM000000031
592,8,SAM000000031
593,6,SAM000000025
594,2,SAM000000025
595,10,SAM000000025
596,4,SAM000000025
597,14,SAM000000031
598,13,SAM000000035
599,8,SAM000000035
600,10,SAM000000035
601,3,SAM000000035
602,5,SAM000000035
603,12,SAM000000035
604,3,SAM000000031
605,5,SAM000000031
606,16,SAM000000031
607,6,SAM000000031
608,11,SAM000000025
609,4,SAM000000035
610,5,SAM000000025
611,8,SAM000000025
612,19,SAM000000022
613,13,SAM000000018
614,12,SAM000000018
615,6,SAM000000018
616,7,SAM000000022
617,7,SAM000000018
618,4,SAM000000018
619,3,SAM000000018
620,18,SAM000000018
621,9,SAM000000018
622,4,SAM000000022
623,8,SAM000000022
624,11,SAM000000022
625,3,SAM000000025
626,9,SAM000000025
627,7,SAM000000025
628,13,SAM000000022
629,6,SAM000000022
630,3,SAM000000022
631,5,SAM000000022
632,10,SAM000000022
633,5,SAM000000018
634,7,SAM000000035
635,15,SAM000000055
636,13,SAM000000055
637,4,SAM000000055
638,10,SAM000000055
639,11,SAM000000055
640,8,SAM000000055
641,5,SAM000000055
642,19,SAM000000055
643,9,SAM000000055
644,1,SAM000000049
645,2,SAM000000049
646,3,SAM000000049
647,7,SAM000000055
648,6,SAM000000055
649,3,SAM000000055
650,8,SAM000000060
651,7,SAM000000060
652,4,SAM000000060
653,11,SAM000000060
654,10,SAM000000060
655,12,SAM000000060
656,2,SAM000000055
657,11,SAM000000035
658,5,SAM000000049
659,6,SAM000000049
660,4,SAM000000040
661,10,SAM000000040
662,7,SAM000000039
663,1,SAM000000039
664,12,SAM000000039
665,4,SAM000000039
666,11,SAM000000039
667,10,SAM000000039
668,9,SAM000000035
669,7,SAM000000040
670,11,SAM000000040
671,10,SAM000000049
672,8,SAM000000049
673,11,SAM000000049
674,13,SAM000000049
675,7,SAM000000049
676,4,SAM000000049
677,18,SAM000000049
678,12,SAM000000040
679,8,SAM000000018
680,11,SAM000000018
681,10,SAM000000018
682,10,SAM000000102
683,11,SAM000000102
684,12,SAM000000102
685,4,SAM000000102
686,7,SAM000000102
687,10,SAM000000100
688,8,SAM000000100
689,12,SAM000000100
690,11,SAM000000100
691,8,SAM000000102
