id,name,desc,type,md5,omics_id,omics_type
331,PRO000000288_EPT000000292_SPT000000092.tif,stereoseq_ssdna,tif,00d4d6b0d0e7de6906ec1b856fde388d,SPT000000092,2
332,PRO000000288_EPT000000293_SPT000000093.h5ad,sct_expr,h5ad,d63457f88d7be5e59bef36d2b9392866,SPT000000093,2
333,PRO000000288_EPT000000293_SPT000000093.tif,stereoseq_ssdna,tif,e6b17b07fe0d07c2ccb7deabae8de4ef,SPT000000093,2
334,PRO000000271_EPT000000272_SPT000000094.h5ad,stereoseq_cellbin,h5ad,e2e3cbc9c89a048790adf95dfed99af9,SPT000000094,2
335,PRO000000271_EPT000000272_SPT000000095.h5ad,stereoseq_cellbin,h5ad,7d20aaee43d026a54ca38f530c7aaf96,SPT000000095,2
336,PRO000000271_EPT000000272_SPT000000096.h5ad,stereoseq_cellbin,h5ad,c25c2b033659507a1ed564b77c7a83bc,SPT000000096,2
337,PRO000000271_EPT000000272_SPT000000097.h5ad,stereoseq_cellbin,h5ad,fd1ae4bdca6d06af3efa85ba143d192c,SPT000000097,2
338,PRO000000271_EPT000000272_SPT000000098.h5ad,stereoseq_cellbin,h5ad,00aa0243d3f42be997f069cd700ad22e,SPT000000098,2
339,PRO000000271_EPT000000272_SPT000000099.h5ad,stereoseq_cellbin,h5ad,8d14f5c7bacdaf2d5079e6aa7540fd9b,SPT000000099,2
340,PRO000000271_EPT000000272_SPT000000100.h5ad,stereoseq_cellbin,h5ad,c3d764ac0051bae870a15b8b0651bdb0,SPT000000100,2
341,PRO000000271_EPT000000272_SPT000000101.h5ad,stereoseq_cellbin,h5ad,818976624a7aa66bf61e843023020be6,SPT000000101,2
342,PRO000000271_EPT000000272_SPT000000102.h5ad,stereoseq_cellbin,h5ad,14ac5f5d27be5b908e44318a9ff99c37,SPT000000102,2
343,PRO000000271_EPT000000272_SPT000000103.h5ad,stereoseq_cellbin,h5ad,fbd3a1a24127549d339fc9ded463ec58,SPT000000103,2
344,PRO000000271_EPT000000272_SPT000000104.h5ad,stereoseq_cellbin,h5ad,7401c1076257ceb22da80f9af2e9b718,SPT000000104,2
345,PRO000000271_EPT000000272_SPT000000104.tif,stereoseq_ssdna,tif,74c121b0f0d93545158f90b0cea40c05,SPT000000104,2
346,PRO000000271_EPT000000272_SPT000000105.h5ad,stereoseq_cellbin,h5ad,c98ae63cbd23a733f1d510ba95768f4f,SPT000000105,2
347,PRO000000271_EPT000000272_SPT000000106.h5ad,stereoseq_bin50,h5ad,3cd1887dbdf508c9fe4d990987c04f81,SPT000000106,2
348,PRO000000278_EPT000000281_SCT000000253.h5ad,sct_expr,h5ad,64f7956868cc102f430db7637f5e7486,SCT000000253,1
349,PRO000000278_EPT000000281_SCT000000254.h5ad,sct_expr,h5ad,f0f818772ec022ba2e36741f8e270620,SCT000000254,1
350,PRO000000278_EPT000000281_SCT000000255.h5ad,sct_expr,h5ad,c664d0e68663aa6aacad7f59ee59626e,SCT000000255,1
351,PRO000000278_EPT000000281_SCT000000256.h5ad,sct_expr,h5ad,641eb2e7910666668229a11e6ab3577c,SCT000000256,1
352,PRO000000278_EPT000000281_SCT000000257.h5ad,sct_expr,h5ad,985a0b86d0e5758e88559d7d59e4894d,SCT000000257,1
353,PRO000000278_EPT000000281_SCT000000258.h5ad,sct_expr,h5ad,a19688dd46f7bbbbebe5607eb14fa48c,SCT000000258,1
354,PRO000000278_EPT000000281_SCT000000259.h5ad,sct_expr,h5ad,e987e7da2142482993c69d05d9142e11,SCT000000259,1
355,PRO000000279_EPT000000282_SCT000000260.h5ad,sct_expr,h5ad,5cc626a8379f4718fd4f5dada8b88f81,SCT000000260,1
356,PRO000000279_EPT000000282_SCT000000261.h5ad,sct_expr,h5ad,d6dcae17c091f17c9baa1dfe599b8654,SCT000000261,1
357,PRO000000279_EPT000000282_SCT000000262.h5ad,sct_expr,h5ad,3308e7c2666928744fb1ee9cb6a7212a,SCT000000262,1
358,PRO000000279_EPT000000282_SCT000000263.h5ad,sct_expr,h5ad,bab27ca74c13f353eaa79b64eae30e63,SCT000000263,1
359,PRO000000279_EPT000000282_SCT000000264.h5ad,sct_expr,h5ad,f5031727194f1c1b291d3478d51c95b3,SCT000000264,1
360,PRO000000279_EPT000000282_SCT000000265.h5ad,sct_expr,h5ad,8b7e1d9ea56f5b826be13d23cfc8adae,SCT000000265,1
