id,annotation_id,type,project_id,experiment_id,omics_id,sample_id,celltype_id,celltype_name,celltype_ontology,root_celltype_id,father_celltype_id,path,celltype_number
227498,ANO000000170,1,289,294,SCT000000266,SAM000181341,3571,gamma-delta_T_Cells_2,,3571,,/3571,3
227499,ANO000000170,1,289,294,SCT000000266,SAM000181341,3505,Plasma_Cell,,3505,,/3505,57
227500,ANO000000170,1,289,294,SCT000000266,SAM000181341,3609,Cholangiocyte,,3609,,/3609,34
227501,ANO000000170,1,289,294,SCT000000266,SAM000181341,3532,Hepatic_Stellate_Cell,,3532,,/3532,3
227502,ANO000000170,1,289,294,SCT000000266,SAM000181340,3488,NK-like_Cell,,3488,,/3488,199
227503,ANO000000170,1,289,294,SCT000000266,SAM000181340,3508,Inflammatory_Macrophage,,3508,,/3508,165
227504,ANO000000170,1,289,294,SCT000000266,SAM000181340,3557,Non-inflammatory_Macrophage,,3557,,/3557,129
227505,ANO000000170,1,289,294,SCT000000266,SAM000181340,3598,Central_venous_LSEC,,3598,,/3598,49
227506,ANO000000170,1,289,294,SCT000000266,SAM000181340,3543,alpha-beta_T_Cell,,3543,,/3543,305
227507,ANO000000170,1,289,294,SCT000000266,SAM000181340,3571,gamma-delta_T_Cells_2,,3571,,/3571,81
227508,ANO000000170,1,289,294,SCT000000266,SAM000181340,3505,Plasma_Cell,,3505,,/3505,77
227509,ANO000000170,1,289,294,SCT000000266,SAM000181340,3609,Cholangiocyte,,3609,,/3609,13
227510,ANO000000170,1,289,294,SCT000000266,SAM000181340,3552,Periportal_LSEC,,3552,,/3552,68
227511,ANO000000170,1,289,294,SCT000000266,SAM000181340,3526,gamma-delta_T_Cells_1,,3526,,/3526,111
227512,ANO000000170,1,289,294,SCT000000266,SAM000181340,3498,Mature_B_Cell,,3498,,/3498,34
227513,ANO000000170,1,289,294,SCT000000266,SAM000181340,3541,Hepatocyte_6,,3541,,/3541,30
227514,ANO000000170,1,289,294,SCT000000266,SAM000181340,3565,Hepatocyte_5,,3565,,/3565,12
227515,ANO000000170,1,289,294,SCT000000266,SAM000181340,3548,Portal_endothelial_Cell,,3548,,/3548,34
227516,ANO000000170,1,289,294,SCT000000266,SAM000181341,3544,Hepatocyte_1,,3544,,/3544,1
227517,ANO000000170,1,289,294,SCT000000266,SAM000181340,3515,Erythroid_Cell,,3515,,/3515,15
227518,ANO000000170,1,289,294,SCT000000266,SAM000181340,3544,Hepatocyte_1,,3544,,/3544,1
227519,ANO000000170,1,289,294,SCT000000266,SAM000181340,3532,Hepatic_Stellate_Cell,,3532,,/3532,2
227520,ANO000000171,1,290,295,SCT000000267,SAM000181361,3600,cDC2,,3600,,/3600,29
227521,ANO000000171,1,290,295,SCT000000267,SAM000181361,3517,CAF,,3517,,/3517,16
227522,ANO000000171,1,290,295,SCT000000267,SAM000181384,3506,LSEC,,3506,,/3506,1
227523,ANO000000171,1,290,295,SCT000000267,SAM000181384,3499,T cell,CL:0000084,3499,,/3499,23
227524,ANO000000171,1,290,295,SCT000000267,SAM000181384,3551,SAM,,3551,,/3551,3
227525,ANO000000171,1,290,295,SCT000000267,SAM000181361,3501,Carcinoma 1,,3501,,/3501,110
227526,ANO000000171,1,290,295,SCT000000267,SAM000181361,3551,SAM,,3551,,/3551,45
227527,ANO000000171,1,290,295,SCT000000267,SAM000181361,3499,T cell,CL:0000084,3499,,/3499,7
227528,ANO000000171,1,290,295,SCT000000267,SAM000181396,3551,SAM,,3551,,/3551,24
227529,ANO000000171,1,290,295,SCT000000267,SAM000181361,3613,LVEC,,3613,,/3613,11
227530,ANO000000171,1,290,295,SCT000000267,SAM000181424,3527,Hepatocyte,,3527,,/3527,25
227531,ANO000000171,1,290,295,SCT000000267,SAM000181361,3530,Proliferation,,3530,,/3530,8
227532,ANO000000171,1,290,295,SCT000000267,SAM000181396,3501,Carcinoma 1,,3501,,/3501,56
227533,ANO000000171,1,290,295,SCT000000267,SAM000181396,3499,T cell,CL:0000084,3499,,/3499,4
227534,ANO000000171,1,290,295,SCT000000267,SAM000181396,3600,cDC2,,3600,,/3600,3
227535,ANO000000171,1,290,295,SCT000000267,SAM000181396,1234,Pericyte,,1234,,/1234,1
227536,ANO000000171,1,290,295,SCT000000267,SAM000181396,3530,Proliferation,,3530,,/3530,1
227537,ANO000000171,1,290,295,SCT000000267,SAM000181396,3512,Carcinoma 2,,3512,,/3512,3
227538,ANO000000171,1,290,295,SCT000000267,SAM000181396,186,Kupffer cell,CL:0000091,186,,/186,2
227539,ANO000000171,1,290,295,SCT000000267,SAM000181396,3517,CAF,,3517,,/3517,1
227540,ANO000000171,1,290,295,SCT000000267,SAM000181396,3550,B cell,CL:0000236,3550,,/3550,2
227541,ANO000000171,1,290,295,SCT000000267,SAM000181361,3550,B cell,CL:0000236,3550,,/3550,6
227542,ANO000000171,1,290,295,SCT000000267,SAM000181361,3595,Stellate cell,,3595,,/3595,6
227543,ANO000000171,1,290,295,SCT000000267,SAM000181361,3527,Hepatocyte,,3527,,/3527,1
227544,ANO000000171,1,290,295,SCT000000267,SAM000181361,3577,TM1,,3577,,/3577,10
227545,ANO000000171,1,290,295,SCT000000267,SAM000181361,186,Kupffer cell,CL:0000091,186,,/186,6
227546,ANO000000171,1,290,295,SCT000000267,SAM000181361,3529,LVECt,,3529,,/3529,5
227547,ANO000000171,1,290,295,SCT000000267,SAM000181361,3512,Carcinoma 2,,3512,,/3512,1
227548,ANO000000171,1,290,295,SCT000000267,SAM000181393,3551,SAM,,3551,,/3551,23
227549,ANO000000171,1,290,295,SCT000000267,SAM000181393,3577,TM1,,3577,,/3577,7
227550,ANO000000171,1,290,295,SCT000000267,SAM000181393,3501,Carcinoma 1,,3501,,/3501,27
227551,ANO000000171,1,290,295,SCT000000267,SAM000181393,3595,Stellate cell,,3595,,/3595,3
227552,ANO000000171,1,290,295,SCT000000267,SAM000181393,3530,Proliferation,,3530,,/3530,4
227553,ANO000000171,1,290,295,SCT000000267,SAM000181393,3550,B cell,CL:0000236,3550,,/3550,2
227554,ANO000000171,1,290,295,SCT000000267,SAM000181393,3527,Hepatocyte,,3527,,/3527,3
227555,ANO000000171,1,290,295,SCT000000267,SAM000181393,3561,cDC1,,3561,,/3561,1
227556,ANO000000171,1,290,295,SCT000000267,SAM000181393,3517,CAF,,3517,,/3517,5
227557,ANO000000171,1,290,295,SCT000000267,SAM000181393,3600,cDC2,,3600,,/3600,3
227558,ANO000000171,1,290,295,SCT000000267,SAM000181393,186,Kupffer cell,CL:0000091,186,,/186,2
227559,ANO000000171,1,290,295,SCT000000267,SAM000181393,3499,T cell,CL:0000084,3499,,/3499,3
227560,ANO000000171,1,290,295,SCT000000267,SAM000181393,3484,vSMC,,3484,,/3484,1
227561,ANO000000171,1,290,295,SCT000000267,SAM000181398,3551,SAM,,3551,,/3551,21
227562,ANO000000171,1,290,295,SCT000000267,SAM000181398,3600,cDC2,,3600,,/3600,10
227563,ANO000000171,1,290,295,SCT000000267,SAM000181398,3577,TM1,,3577,,/3577,22
227564,ANO000000171,1,290,295,SCT000000267,SAM000181398,3501,Carcinoma 1,,3501,,/3501,41
227565,ANO000000171,1,290,295,SCT000000267,SAM000181398,3499,T cell,CL:0000084,3499,,/3499,6
227566,ANO000000171,1,290,295,SCT000000267,SAM000181398,3517,CAF,,3517,,/3517,2
227567,ANO000000171,1,290,295,SCT000000267,SAM000181396,3527,Hepatocyte,,3527,,/3527,2
227568,ANO000000171,1,290,295,SCT000000267,SAM000181396,3561,cDC1,,3561,,/3561,1
227569,ANO000000171,1,290,295,SCT000000267,SAM000181396,3595,Stellate cell,,3595,,/3595,1
227570,ANO000000171,1,290,295,SCT000000267,SAM000181396,3577,TM1,,3577,,/3577,7
227571,ANO000000171,1,290,295,SCT000000267,SAM000181396,3613,LVEC,,3613,,/3613,1
227572,ANO000000171,1,290,295,SCT000000267,SAM000181385,3600,cDC2,,3600,,/3600,8
227573,ANO000000171,1,290,295,SCT000000267,SAM000181385,3499,T cell,CL:0000084,3499,,/3499,3
227574,ANO000000171,1,290,295,SCT000000267,SAM000181385,186,Kupffer cell,CL:0000091,186,,/186,8
227575,ANO000000171,1,290,295,SCT000000267,SAM000181385,3551,SAM,,3551,,/3551,4
227576,ANO000000171,1,290,295,SCT000000267,SAM000181385,3506,LSEC,,3506,,/3506,3
227577,ANO000000171,1,290,295,SCT000000267,SAM000181385,3561,cDC1,,3561,,/3561,1
227578,ANO000000171,1,290,295,SCT000000267,SAM000181385,3577,TM1,,3577,,/3577,4
227579,ANO000000171,1,290,295,SCT000000267,SAM000181385,3512,Carcinoma 2,,3512,,/3512,4
227580,ANO000000171,1,290,295,SCT000000267,SAM000181385,3613,LVEC,,3613,,/3613,2
227581,ANO000000171,1,290,295,SCT000000267,SAM000181385,3595,Stellate cell,,3595,,/3595,1
227582,ANO000000171,1,290,295,SCT000000267,SAM000181385,3501,Carcinoma 1,,3501,,/3501,1
227583,ANO000000171,1,290,295,SCT000000267,SAM000181360,3527,Hepatocyte,,3527,,/3527,3
227584,ANO000000171,1,290,295,SCT000000267,SAM000181360,3501,Carcinoma 1,,3501,,/3501,108
227585,ANO000000171,1,290,295,SCT000000267,SAM000181360,3517,CAF,,3517,,/3517,8
227586,ANO000000171,1,290,295,SCT000000267,SAM000181360,3551,SAM,,3551,,/3551,41
227587,ANO000000171,1,290,295,SCT000000267,SAM000181360,3529,LVECt,,3529,,/3529,7
227588,ANO000000171,1,290,295,SCT000000267,SAM000181360,3577,TM1,,3577,,/3577,20
227589,ANO000000171,1,290,295,SCT000000267,SAM000181360,3613,LVEC,,3613,,/3613,13
227590,ANO000000171,1,290,295,SCT000000267,SAM000181360,3512,Carcinoma 2,,3512,,/3512,3
227591,ANO000000171,1,290,295,SCT000000267,SAM000181360,3600,cDC2,,3600,,/3600,30
227592,ANO000000171,1,290,295,SCT000000267,SAM000181360,3550,B cell,CL:0000236,3550,,/3550,9
227593,ANO000000171,1,290,295,SCT000000267,SAM000181360,3499,T cell,CL:0000084,3499,,/3499,8
227594,ANO000000171,1,290,295,SCT000000267,SAM000181360,1234,Pericyte,,1234,,/1234,2
227595,ANO000000171,1,290,295,SCT000000267,SAM000181360,3530,Proliferation,,3530,,/3530,3
227596,ANO000000171,1,290,295,SCT000000267,SAM000181357,3550,B cell,CL:0000236,3550,,/3550,8
227597,ANO000000171,1,290,295,SCT000000267,SAM000181357,186,Kupffer cell,CL:0000091,186,,/186,42
227598,ANO000000171,1,290,295,SCT000000267,SAM000181357,3527,Hepatocyte,,3527,,/3527,23
227599,ANO000000171,1,290,295,SCT000000267,SAM000181357,3512,Carcinoma 2,,3512,,/3512,3
227600,ANO000000171,1,290,295,SCT000000267,SAM000181357,3517,CAF,,3517,,/3517,2
227601,ANO000000171,1,290,295,SCT000000267,SAM000181357,3613,LVEC,,3613,,/3613,44
227602,ANO000000171,1,290,295,SCT000000267,SAM000181357,3506,LSEC,,3506,,/3506,24
227603,ANO000000171,1,290,295,SCT000000267,SAM000181357,3501,Carcinoma 1,,3501,,/3501,4
227604,ANO000000171,1,290,295,SCT000000267,SAM000181357,3499,T cell,CL:0000084,3499,,/3499,17
227605,ANO000000171,1,290,295,SCT000000267,SAM000181357,3529,LVECt,,3529,,/3529,3
227606,ANO000000171,1,290,295,SCT000000267,SAM000181357,3595,Stellate cell,,3595,,/3595,7
227607,ANO000000171,1,290,295,SCT000000267,SAM000181357,3600,cDC2,,3600,,/3600,5
227608,ANO000000171,1,290,295,SCT000000267,SAM000181398,3527,Hepatocyte,,3527,,/3527,1
227609,ANO000000171,1,290,295,SCT000000267,SAM000181357,3484,vSMC,,3484,,/3484,4
227610,ANO000000171,1,290,295,SCT000000267,SAM000181360,3506,LSEC,,3506,,/3506,2
227611,ANO000000171,1,290,295,SCT000000267,SAM000181360,3595,Stellate cell,,3595,,/3595,1
227612,ANO000000171,1,290,295,SCT000000267,SAM000181360,3561,cDC1,,3561,,/3561,1
227613,ANO000000171,1,290,295,SCT000000267,SAM000181360,3484,vSMC,,3484,,/3484,2
227614,ANO000000171,1,290,295,SCT000000267,SAM000181391,3499,T cell,CL:0000084,3499,,/3499,4
227615,ANO000000171,1,290,295,SCT000000267,SAM000181383,3517,CAF,,3517,,/3517,1
227616,ANO000000171,1,290,295,SCT000000267,SAM000181383,3512,Carcinoma 2,,3512,,/3512,2
227617,ANO000000171,1,290,295,SCT000000267,SAM000181383,3595,Stellate cell,,3595,,/3595,3
227618,ANO000000171,1,290,295,SCT000000267,SAM000181383,186,Kupffer cell,CL:0000091,186,,/186,9
