id,project_id,omics_id,annotation_id,annotation_type,name,logfoldchange,method,pval,pval_adj,score,layer,father_uplayer,gene_id,celltype_id,celltype_ontology,celltype_name,logfoldchange_rank,pval_rank
341017,289,SCT000000266,ANO000000170,1,Gene:hsa:1672,4.88,t-test,0,0,27.9,1,root,1672,3609,,Cholangiocyte,11,7
341018,289,SCT000000266,ANO000000170,1,Gene:hsa:3875,3.65,t-test,0,0,25.9,1,root,3875,3609,,Cholangiocyte,14,8
341019,289,SCT000000266,ANO000000170,1,Gene:hsa:6696,8.56,t-test,1.00E-45,3.40E-44,23.2,1,root,6696,3609,,Cholangiocyte,4,9
341020,289,SCT000000266,ANO000000170,1,Gene:hsa:3960,6.02,t-test,1.00E-45,3.40E-44,23.2,1,root,3960,3609,,Cholangiocyte,7,10
341021,289,SCT000000266,ANO000000170,1,Gene:hsa:3855,9.94,t-test,1.44E-42,5.81E-41,21.5,1,root,3855,3609,,Cholangiocyte,3,11
341022,289,SCT000000266,ANO000000170,1,Gene:hsa:11034,2.25,t-test,8.21E-39,2.84E-37,19,1,root,11034,3609,,Cholangiocyte,20,14
341023,289,SCT000000266,ANO000000170,1,Gene:hsa:1915,0.456,t-test,3.40E-41,1.31E-39,18.6,1,root,1915,3609,,Cholangiocyte,29,12
341024,289,SCT000000266,ANO000000170,1,Gene:hsa:476,3.63,t-test,6.50E-37,2.09E-35,18.4,1,root,476,3609,,Cholangiocyte,15,16
341025,289,SCT000000266,ANO000000170,1,Gene:hsa:2495,0.575,t-test,2.45E-39,8.71E-38,18,1,root,2495,3609,,Cholangiocyte,28,13
341026,289,SCT000000266,ANO000000170,1,Gene:hsa:2638,2.21,t-test,7.61E-37,2.44E-35,18,1,root,2638,3609,,Cholangiocyte,22,17
341027,289,SCT000000266,ANO000000170,1,Gene:hsa:259,1.67,t-test,2.73E-37,9.01E-36,17.7,1,root,259,3609,,Cholangiocyte,25,15
341028,289,SCT000000266,ANO000000170,1,Gene:hsa:6590,3.6,t-test,1.94E-34,5.78E-33,17.3,1,root,6590,3609,,Cholangiocyte,16,18
341029,289,SCT000000266,ANO000000170,1,Gene:hsa:1999,5.91,t-test,5.28E-34,1.54E-32,17.2,1,root,1999,3609,,Cholangiocyte,8,20
341030,289,SCT000000266,ANO000000170,1,Gene:hsa:2950,2.71,t-test,2.20E-34,6.53E-33,17.1,1,root,2950,3609,,Cholangiocyte,19,19
341031,289,SCT000000266,ANO000000170,1,Gene:hsa:183,2.06,t-test,6.46E-34,1.88E-32,16.7,1,root,183,3609,,Cholangiocyte,23,21
341032,289,SCT000000266,ANO000000170,1,Gene:hsa:481,3.33,t-test,3.22E-32,8.65E-31,16.3,1,root,481,3609,,Cholangiocyte,17,23
341033,289,SCT000000266,ANO000000170,1,Gene:hsa:4070,10.1,t-test,2.12E-30,5.36E-29,15.6,1,root,4070,3609,,Cholangiocyte,2,25
341034,289,SCT000000266,ANO000000170,1,Gene:hsa:378938,0.592,t-test,4.86E-33,1.37E-31,15.6,1,root,378938,3609,,Cholangiocyte,27,22
341035,289,SCT000000266,ANO000000170,1,Gene:hsa:10653,5.21,t-test,2.85E-29,7.02E-28,15,1,root,10653,3609,,Cholangiocyte,10,27
341036,289,SCT000000266,ANO000000170,1,Gene:hsa:6130,0.611,t-test,1.67E-31,4.41E-30,14.7,1,root,6130,3609,,Cholangiocyte,26,24
341037,289,SCT000000266,ANO000000170,1,Gene:hsa:26751,5.8,t-test,1.51E-28,3.63E-27,14.7,1,root,26751,3609,,Cholangiocyte,9,28
341038,289,SCT000000266,ANO000000170,1,Gene:hsa:6171,0.266,t-test,2.81E-30,7.09E-29,14.6,1,root,6171,3609,,Cholangiocyte,30,26
341039,289,SCT000000266,ANO000000170,1,Gene:hsa:302,2.78,t-test,2.10E-28,5.03E-27,14.6,1,root,302,3609,,Cholangiocyte,18,29
341040,289,SCT000000266,ANO000000170,1,Gene:hsa:6281,1.93,t-test,2.76E-28,6.58E-27,14.4,1,root,6281,3609,,Cholangiocyte,24,30
341041,289,SCT000000266,ANO000000170,1,Gene:hsa:3039,7.34,t-test,0,0,87.8,1,root,3039,3515,,Erythroid_Cell,12,1
341042,289,SCT000000266,ANO000000170,1,Gene:hsa:3043,5.93,t-test,0,0,83.6,1,root,3043,3515,,Erythroid_Cell,16,2
341043,289,SCT000000266,ANO000000170,1,Gene:hsa:3040,6.98,t-test,0,0,83.6,1,root,3040,3515,,Erythroid_Cell,13,3
341044,289,SCT000000266,ANO000000170,1,Gene:hsa:51327,10.1,t-test,0,0,34.2,1,root,51327,3515,,Erythroid_Cell,7,4
341045,289,SCT000000266,ANO000000170,1,Gene:hsa:212,11.4,t-test,0,0,34,1,root,212,3515,,Erythroid_Cell,2,5
341046,289,SCT000000266,ANO000000170,1,Gene:hsa:3045,9.14,t-test,0,0,33.7,1,root,3045,3515,,Erythroid_Cell,11,6
341047,289,SCT000000266,ANO000000170,1,Gene:hsa:51312,6.49,t-test,0,0,29.6,1,root,51312,3515,,Erythroid_Cell,14,7
341048,289,SCT000000266,ANO000000170,1,Gene:hsa:759,9.73,t-test,0,0,28.3,1,root,759,3515,,Erythroid_Cell,8,8
341049,289,SCT000000266,ANO000000170,1,Gene:hsa:6622,9.69,t-test,1.10E-40,9.13E-40,23.5,1,root,6622,3515,,Erythroid_Cell,9,9
341050,289,SCT000000266,ANO000000170,1,Gene:hsa:3042,10.4,t-test,8.16E-40,6.70E-39,22.9,1,root,3042,3515,,Erythroid_Cell,5,10
341051,289,SCT000000266,ANO000000170,1,Gene:hsa:51629,5.57,t-test,9.31E-40,7.63E-39,22.8,1,root,51629,3515,,Erythroid_Cell,18,11
341052,289,SCT000000266,ANO000000170,1,Gene:hsa:2995,4.47,t-test,2.05E-35,1.53E-34,19.9,1,root,2995,3515,,Erythroid_Cell,23,12
341053,289,SCT000000266,ANO000000170,1,Gene:hsa:645,3.69,t-test,3.56E-34,2.56E-33,19.1,1,root,645,3515,,Erythroid_Cell,28,13
341054,289,SCT000000266,ANO000000170,1,Gene:hsa:7314,2.07,t-test,2.82E-31,1.88E-30,17.3,1,root,7314,3515,,Erythroid_Cell,30,14
341055,289,SCT000000266,ANO000000170,1,Gene:hsa:8531,5.02,t-test,1.49E-30,9.79E-30,17.2,1,root,8531,3515,,Erythroid_Cell,19,15
