id,omics_id,sample_id
155464,SCT000000274,SAM000183013
155465,SCT000000274,SAM000183148
155466,SCT000000274,SAM000183149
155467,SCT000000274,SAM000183150
155468,SCT000000274,SAM000183151
155469,SCT000000274,SAM000183153
155470,SCT000000274,SAM000183154
155471,SCT000000274,SAM000183155
155472,SCT000000274,SAM000183156
155473,SCT000000274,SAM000183157
155474,SCT000000274,SAM000183158
155475,SCT000000274,SAM000183159
155476,SCT000000274,SAM000183160
155477,SCT000000274,SAM000183161
155478,SCT000000274,SAM000183162
155479,SCT000000274,SAM000183163
155480,SCT000000274,SAM000183164
155481,SCT000000274,SAM000183165
155482,SCT000000274,SAM000183166
155483,SCT000000274,SAM000183167
155484,SCT000000274,SAM000183168
155485,SCT000000274,SAM000183169
155486,SCT000000274,SAM000183170
155487,SCT000000274,SAM000183171
155488,SCT000000274,SAM000183172
155489,SCT000000274,SAM000183173
155490,SCT000000274,SAM000183174
155491,SCT000000274,SAM000183175
155492,SCT000000274,SAM000183147
155493,SCT000000274,SAM000183146
155494,SCT000000274,SAM000183145
155495,SCT000000274,SAM000183144
155496,SCT000000274,SAM000183114
155497,SCT000000274,SAM000183115
155498,SCT000000274,SAM000183116
155499,SCT000000274,SAM000183117
155500,SCT000000274,SAM000183118
155501,SCT000000274,SAM000183119
155502,SCT000000274,SAM000183120
155503,SCT000000274,SAM000183121
155504,SCT000000274,SAM000183122
155505,SCT000000274,SAM000183123
155506,SCT000000274,SAM000183124
155507,SCT000000274,SAM000183125
155508,SCT000000274,SAM000183127
155509,SCT000000274,SAM000183176
155510,SCT000000274,SAM000183128
155511,SCT000000274,SAM000183130
155512,SCT000000274,SAM000183131
155513,SCT000000274,SAM000183132
155514,SCT000000274,SAM000183133
155515,SCT000000274,SAM000183134
155516,SCT000000274,SAM000183135
155517,SCT000000274,SAM000183136
155518,SCT000000274,SAM000183137
155519,SCT000000274,SAM000183138
155520,SCT000000274,SAM000183139
155521,SCT000000274,SAM000183140
155522,SCT000000274,SAM000183141
155523,SCT000000274,SAM000183143
155524,SCT000000274,SAM000183129
155525,SCT000000274,SAM000183177
155526,SCT000000274,SAM000183179
155527,SCT000000274,SAM000183180
155528,SCT000000274,SAM000183214
155529,SCT000000274,SAM000183215
155530,SCT000000274,SAM000183216
155531,SCT000000274,SAM000183218
155532,SCT000000274,SAM000183219
155533,SCT000000274,SAM000183220
155534,SCT000000274,SAM000183221
155535,SCT000000274,SAM000183222
155536,SCT000000274,SAM000183223
155537,SCT000000274,SAM000183224
155538,SCT000000274,SAM000183225
155539,SCT000000274,SAM000183226
155540,SCT000000274,SAM000183227
155541,SCT000000274,SAM000183213
155542,SCT000000274,SAM000183228
155543,SCT000000274,SAM000183230
155544,SCT000000274,SAM000183231
155545,SCT000000274,SAM000183232
155546,SCT000000274,SAM000183233
155547,SCT000000274,SAM000183234
155548,SCT000000274,SAM000183235
155549,SCT000000274,SAM000183236
155550,SCT000000274,SAM000183237
155551,SCT000000274,SAM000183238
155552,SCT000000274,SAM000183239
155553,SCT000000274,SAM000183240
155554,SCT000000274,SAM000183241
155555,SCT000000274,SAM000183242
155556,SCT000000274,SAM000183229
155557,SCT000000274,SAM000183112
155558,SCT000000274,SAM000183212
155559,SCT000000274,SAM000183210
155560,SCT000000274,SAM000183181
155561,SCT000000274,SAM000183182
155562,SCT000000274,SAM000183183
155563,SCT000000274,SAM000183184
155564,SCT000000274,SAM000183185
155565,SCT000000274,SAM000183186
155566,SCT000000274,SAM000183187
155567,SCT000000274,SAM000183188
155568,SCT000000274,SAM000183189
155569,SCT000000274,SAM000183190
155570,SCT000000274,SAM000183191
155571,SCT000000274,SAM000183192
155572,SCT000000274,SAM000183193
155573,SCT000000274,SAM000183211
155574,SCT000000274,SAM000183194
155575,SCT000000274,SAM000183196
155576,SCT000000274,SAM000183197
155577,SCT000000274,SAM000183198
155578,SCT000000274,SAM000183199
155579,SCT000000274,SAM000183200
155580,SCT000000274,SAM000183201
155581,SCT000000274,SAM000183202
155582,SCT000000274,SAM000183203
155583,SCT000000274,SAM000183204
155584,SCT000000274,SAM000183205
155585,SCT000000274,SAM000183206
155586,SCT000000274,SAM000183207
155587,SCT000000274,SAM000183209
155588,SCT000000274,SAM000183195
155589,SCT000000274,SAM000183243
155590,SCT000000274,SAM000183111
155591,SCT000000274,SAM000183109
155592,SCT000000274,SAM000183015
155593,SCT000000274,SAM000183016
155594,SCT000000274,SAM000183017
155595,SCT000000274,SAM000183018
155596,SCT000000274,SAM000183019
155597,SCT000000274,SAM000183020
155598,SCT000000274,SAM000183021
155599,SCT000000274,SAM000183022
155600,SCT000000274,SAM000183023
155601,SCT000000274,SAM000183024
155602,SCT000000274,SAM000183026
155603,SCT000000274,SAM000183027
155604,SCT000000274,SAM000183028
155605,SCT000000274,SAM000183029
155606,SCT000000274,SAM000183030
155607,SCT000000274,SAM000183031
155608,SCT000000274,SAM000183033
155609,SCT000000274,SAM000183034
155610,SCT000000274,SAM000183035
155611,SCT000000274,SAM000183036
155612,SCT000000274,SAM000183037
155613,SCT000000274,SAM000183038
155614,SCT000000274,SAM000183039
155615,SCT000000274,SAM000183040
155616,SCT000000274,SAM000183041
155617,SCT000000274,SAM000183042
155618,SCT000000274,SAM000183043
155619,SCT000000274,SAM000183014
155620,SCT000000274,SAM000183011
155621,SCT000000274,SAM000183010
155622,SCT000000274,SAM000183009
155623,SCT000000274,SAM000182976
155624,SCT000000274,SAM000182977
155625,SCT000000274,SAM000182978
155626,SCT000000274,SAM000182981
155627,SCT000000274,SAM000182982
155628,SCT000000274,SAM000182983
155629,SCT000000274,SAM000182985
155630,SCT000000274,SAM000182986
155631,SCT000000274,SAM000182987
155632,SCT000000274,SAM000182989
155633,SCT000000274,SAM000182990
155634,SCT000000274,SAM000182991
155635,SCT000000274,SAM000182992
155636,SCT000000274,SAM000183044
155637,SCT000000274,SAM000182993
155638,SCT000000274,SAM000182995
155639,SCT000000274,SAM000182996
155640,SCT000000274,SAM000182997
155641,SCT000000274,SAM000182998
155642,SCT000000274,SAM000183000
155643,SCT000000274,SAM000183001
155644,SCT000000274,SAM000183002
155645,SCT000000274,SAM000183003
155646,SCT000000274,SAM000183004
155647,SCT000000274,SAM000183005
155648,SCT000000274,SAM000183006
155649,SCT000000274,SAM000183007
155650,SCT000000274,SAM000183008
155651,SCT000000274,SAM000182994
155652,SCT000000274,SAM000183045
155653,SCT000000274,SAM000183047
155654,SCT000000274,SAM000183048
