system,system_ontology,organ,organ_ontology,organ_tax2,organ_tax2_ontology,organ_tax3,organ_tax3_ontology,organ_tax4,organ_tax4_ontology,organ_tax5,organ_tax5_ontology,organ_tax6,organ_tax6_ontology,organ_tax7,organ_tax7_ontology,organ_tax8,organ_tax8_ontology,organ_tax9,organ_tax9_ontology,organ_tax10,organ_tax10_ontology
,,limb,UBERON:0002101,limb segment,UBERON:0002529,autopod region,UBERON:0002470,autopodial extension,UBERON:0005881,digit,UBERON:0002544,"digit 2, 3 or 4",UBERON:0019222,digit 4,UBERON:0006051,,,,,,
,,limb,UBERON:0002101,hindlimb,UBERON:0002103,hindlimb muscle,UBERON:0003663,,,,,,,,,,,,,,
,,limb,UBERON:0002101,hindlimb,UBERON:0002103,leg,UBERON:0000978,knee,UBERON:0001465,,,,,,,,,,,,
,,limb bone,UBERON:0002428,head of femur,UBERON:0006767,,,,,,,,,,,,,,,,
,,liver,UBERON:0002107,,,,,,,,,,,,,,,,,,
,,liver,UBERON:0002107,intrahepatic bile duct,UBERON:0003704,,,,,,,,,,,,,,,,
,,lung,UBERON:0002048,lung bud,UBERON:0000118,,,,,,,,,,,,,,,,
,,lung,UBERON:0002048,lung parenchyma,UBERON:0008946,,,,,,,,,,,,,,,,
,,lung,UBERON:0002048,lung epithelium,UBERON:0000115,,,,,,,,,,,,,,,,
,,lung,UBERON:0002048,right lung,UBERON:0002167,middle lobe of right lung,UBERON:0002174,,,,,,,,,,,,,,
,,lung,UBERON:0002048,alveolus,UBERON:0003215,,,,,,,,,,,,,,,,
,,lung,UBERON:0002048,bronchiole,UBERON:0002186,,,,,,,,,,,,,,,,
,,lung,UBERON:0002048,alveolar system,UBERON:0006524,sputum,UBERON:0007311,,,,,,,,,,,,,,
lymphoid system,UBERON:0002465,lymph node,UBERON:0000029,abdominal lymph node,UBERON:0002507,visceral abdominal lymph node,UBERON:0015860,mesenteric lymph node,UBERON:0002509,,,,,,,,,,,,
lymphoid system,UBERON:0002465,lymph node,UBERON:0000029,peripheral lymph node,UBERON:0003968,axillary lymph node,UBERON:0001097,,,,,,,,,,,,,,
lymphoid system,UBERON:0002465,lymph node,UBERON:0000029,craniocervical lymph node,UBERON:0038849,,,,,,,,,,,,,,,,
lymphoid system,UBERON:0002465,lymphoid tissue,UBERON:0001744,,,,,,,,,,,,,,,,,,
,,mammary gland,UBERON:0001911,epithelium of mammary gland,UBERON:0003244,,,,,,,,,,,,,,,,
,,membranous layer,UBERON:0000158,extraembryonic membrane,UBERON:0005631,yolk sac,UBERON:0001040,,,,,,,,,,,,,,
,,membranous layer,UBERON:0000158,extraembryonic membrane,UBERON:0005631,allantois,UBERON:0004340,,,,,,,,,,,,,,
,,membranous layer,UBERON:0000158,extraembryonic membrane,UBERON:0005631,chorion membrane,UBERON:0003124,chorionic villus,UBERON:0007106,,,,,,,,,,,,
,,muscle tissue,UBERON:0002385,smooth muscle tissue,UBERON:0001135,,,,,,,,,,,,,,,,
,,musculature,UBERON:0001015,,,,,,,,,,,,,,,,,,
musculature,UBERON:0001015,muscle organ,UBERON:0001630,skeletal muscle organ,UBERON:0014892,limb muscle,UBERON:0003661,soleus muscle,UBERON:0001389,,,,,,,,,,,,
musculature,UBERON:0001015,muscle organ,UBERON:0001630,skeletal muscle organ,UBERON:0014892,limb muscle,UBERON:0003661,quadriceps femoris,UBERON:0001377,,,,,,,,,,,,
musculature,UBERON:0001015,muscle organ,UBERON:0001630,skeletal muscle organ,UBERON:0014892,limb muscle,UBERON:0003661,gastrocnemius,UBERON:0001388,,,,,,,,,,,,
musculature,UBERON:0001015,muscle organ,UBERON:0001630,respiratory system muscle,UBERON:0003831,diaphragm,UBERON:0001103,,,,,,,,,,,,,,
musculature,UBERON:0001015,muscle organ,UBERON:0001630,skeletal muscle organ,UBERON:0014892,,,,,,,,,,,,,,,,
musculature,UBERON:0001015,muscle organ,UBERON:0001630,extensor digitorum longus,UBERON:0001386,,,,,,,,,,,,,,,,
,,nerve,UBERON:0001021,tibial nerve,UBERON:0001323,,,,,,,,,,,,,,,,
nervous system,UBERON:0001016,central nervous system,UBERON:0001017,spinal cord,UBERON:0002240,,,,,,,,,,,,,,,,
nervous system,UBERON:0001016,ganglion,UBERON:0000045,sympathetic ganglion,UBERON:0001806,,,,,,,,,,,,,,,,
nervous system,UBERON:0001016,ganglionic eminence,UBERON:0004023,medial ganglionic eminence,UBERON:0004024,,,,,,,,,,,,,,,,
nervous system,UBERON:0001016,ganglionic eminence,UBERON:0004023,caudal ganglionic eminence,UBERON:0004026,,,,,,,,,,,,,,,,
nervous system,UBERON:0001016,neuron projection bundle,UBERON:0004904,neuron projection bundle connecting eye with brain,UBERON:0004904,,,,,,,,,,,,,,,,
,,gustatory organ,UBERON:0003212,taste bud,UBERON:0001727,,,,,,,,,,,,,,,,
olfactory system,UBERON:0005725,nose,UBERON:0000004,olfactory apparatus chamber,UBERON:0015788,nasal cavity mucosa,UBERON:0001826,olfactory segment of nasal mucosa,UBERON:0005386,,,,,,,,,,,,
,,nose,UBERON:0000004,nose epithelium,UBERON:0019306,nasal cavity epithelium,UBERON:0005384,,,,,,,,,,,,,,
,,nasal turbinal,UBERON:0035612,,,,,,,,,,,,,,,,,,
,,pancreas,UBERON:0001264,endocrine pancreas,UBERON:0000016,islet of Langerhans,UBERON:0000006,,,,,,,,,,,,,,
,,pancreas,UBERON:0001264,exocrine pancreas,UBERON:0000017,pancreatic acinus,UBERON:0001263,,,,,,,,,,,,,,
,,pancreas,UBERON:0001264,pancreatic duct,UBERON:0007329,,,,,,,,,,,,,,,,
,,peritoneum,UBERON:0002358,visceral peritoneum,UBERON:0001178,omentum,UBERON:0003688,,,,,,,,,,,,,,
,,penis,UBERON:0000989,skin of penis,UBERON:0001331,skin of prepuce of penis,UBERON:0001471,,,,,,,,,,,,,,
,,placenta,UBERON:0001987,decidua,UBERON:0002450,,,,,,,,,,,,,,,,
respiratory tract,UBERON:0000065,pleura,UBERON:0000977,,,,,,,,,,,,,,,,,,
renal system,UBERON:0001008,upper urinary tract,UBERON:0011143,ureter,UBERON:0000056,,,,,,,,,,,,,,,,
renal system,UBERON:0001008,lower urinary tract,UBERON:0001556,urethra,UBERON:0000057,epithelium of urethra,UBERON:0002325,,,,,,,,,,,,,,
renal system,UBERON:0001008,lower urinary tract,UBERON:0001556,periurethral tissue,UBERON:0009010,,,,,,,,,,,,,,,,
,,reproductive organ,UBERON:0003133,,,,,,,,,,,,,,,,,,
,,respiratory system,UBERON:0001004,gill,UBERON:0002535,,,,,,,,,,,,,,,,
,,rib,UBERON:0002228,,,,,,,,,,,,,,,,,,
,,saliva-secreting gland,UBERON:0001044,,,,,,,,,,,,,,,,,,
,,skeletal joint,UBERON:0000982,synovial joint,UBERON:0002217,synovial membrane of synovial joint,UBERON:0002018,,,,,,,,,,,,,,
,,skeletal joint,UBERON:0000982,meniscus,UBERON:0000387,,,,,,,,,,,,,,,,
,,skeletal joint,UBERON:0000982,intervertebral joint,UBERON:0001468,intervertebral disk,UBERON:0001066,nucleus pulposus,UBERON:0002242,,,,,,,,,,,,
,,skeletal joint,UBERON:0000982,knee joint,UBERON:0001485,anterior cruciate ligament of knee joint,UBERON:0003671,,,,,,,,,,,,,,
,,skeletal tissue,UBERON:0004755,annulus fibrosus,UBERON:0006444,,,,,,,,,,,,,,,,
,,skeletal tissue,UBERON:0004755,cartilage tissue,UBERON:0002418,,,,,,,,,,,,,,,,
,,skin of body,UBERON:0002097,skin epidermis,UBERON:0001003,nail,UBERON:0001705,,,,,,,,,,,,,,
,,skin of body,UBERON:0002097,zone of skin,UBERON:0000014,skin of trunk,UBERON:0001085,skin of back,UBERON:0001068,,,,,,,,,,,,
,,skin of body,UBERON:0002097,dermis,UBERON:0002067,,,,,,,,,,,,,,,,
,,spleen,UBERON:0002106,red pulp of spleen,UBERON:0001250,,,,,,,,,,,,,,,,
,,semen,UBERON:0001968,seminal fluid,UBERON:0006530,,,,,,,,,,,,,,,,
,,tail,UBERON:0002415,,,,,,,,,,,,,,,,,,
,,testis,UBERON:0000473,,,,,,,,,,,,,,,,,,
,,tendon,UBERON:0000043,,,,,,,,,,,,,,,,,,
respiratory tract,UBERON:0000065,trachea,UBERON:0003126,epithelium of trachea,UBERON:0001901,,,,,,,,,,,,,,,,
respiratory tract,UBERON:0000065,respiratory tract epithelium,UBERON:0004802,,,,,,,,,,,,,,,,,,
,,umbilical cord,UBERON:0002331,umbilical cord blood,UBERON:0012168,,,,,,,,,,,,,,,,
,,umbilical cord,UBERON:0002331,mesenchyme of umbilical cord,UBERON:0003422,,,,,,,,,,,,,,,,
,,urinary bladder,UBERON:0001255,,,,,,,,,,,,,,,,,,
renal system,UBERON:0001008,urine,UBERON:0001088,,,,,,,,,,,,,,,,,,
,,uterus,UBERON:0000995,uterine wall,UBERON:0000459,myometrium,UBERON:0001296,,,,,,,,,,,,,,
,,uterus,UBERON:0000995,uterine cervix,UBERON:0000002,,,,,,,,,,,,,,,,
,,uterus,UBERON:0000995,endometrium,UBERON:0001295,endometrial stroma,UBERON:0002337,,,,,,,,,,,,,,
,,vagina,UBERON:0000996,wall of vagina,UBERON:0036523,,,,,,,,,,,,,,,,
,,vasculature,UBERON:0002049,,,,,,,,,,,,,,,,,,
,,viscus,UBERON:0002075,peritoneal cavity,UBERON:0001179,,,,,,,,,,,,,,,,
