system,system_ontology,organ,organ_ontology,organ_tax2,organ_tax2_ontology,organ_tax3,organ_tax3_ontology,organ_tax4,organ_tax4_ontology,organ_tax5,organ_tax5_ontology,organ_tax6,organ_tax6_ontology,organ_tax7,organ_tax7_ontology,organ_tax8,organ_tax8_ontology,organ_tax9,organ_tax9_ontology,organ_tax10,organ_tax10_ontology
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,left cerebral hemisphere,UBERON:0002812,,,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,cerebral hemisphere,UBERON:0001869,left temporal lobe,UBERON:0002808,,,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,hippocampal formation,UBERON:0002421,layer of dentate gyrus,UBERON:0002304,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,hippocampus alveus,UBERON:0007639,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,neocortex,UBERON:0001950,right frontal lobe,UBERON:0002810,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,neocortex,UBERON:0001950,superior parietal cortex,UBERON:0006094,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,neocortex,UBERON:0001950,cortex of cerebral lobe,UBERON:0016529,temporal cortex,UBERON:0016538,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,neocortex,UBERON:0001950,cortex of cerebral lobe,UBERON:0016529,parietal cortex,UBERON:0016530,primary somatosensory cortex,UBERON:0008933,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,gyrus,UBERON:0000200,anterior cingulate gyrus,UBERON:0002756,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,gyrus,UBERON:0000200,middle temporal gyrus,UBERON:0002771,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,prefrontal cortex,UBERON:0000451,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,auditory cortex,UBERON:0001393,primary auditory cortex,UBERON:0034751,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,primary motor cortex,UBERON:0001384,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,premotor cortex,UBERON:0016634,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,central sulcus,UBERON:0002916,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,pallium,UBERON:0000203,cerebral cortex,UBERON:0000956,dorsolateral prefrontal cortex,UBERON:0009834,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,telencephalon,UBERON:0001893,gray matter of telencephalon,UBERON:0011300,striatum,UBERON:0002435,,,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,diencephalon,UBERON:0001894,neurohypophysis,UBERON:0002198,anterior median eminence,UBERON:0002648,,,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,diencephalon,UBERON:0001894,thalamic complex,UBERON:0010225,dorsal plus ventral thalamus,UBERON:0001897,nucleus of thalamus,UBERON:0007692,nucleus of ventral thalamus,UBERON:0015234,endopeduncular nucleus,UBERON:0000432,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,diencephalon,UBERON:0001894,thalamic complex,UBERON:0010225,dorsal plus ventral thalamus,UBERON:0001897,dorsal thalamus,UBERON:0004703,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,diencephalon,UBERON:0001894,thalamic complex,UBERON:0010225,hypothalamus,UBERON:0001898,,,,,,,,,,
,,brain,UBERON:0000955,forebrain,UBERON:0001890,diencephalon,UBERON:0001894,thalamic complex,UBERON:0010225,dorsal plus ventral thalamus,UBERON:0001897,epithalamus,UBERON:0001899,habenula,UBERON:0001904,,,,,,
,,brain,UBERON:0000955,hindbrain,UBERON:0002028,segmental subdivision of hindbrain,UBERON:0004733,metencephalon,UBERON:0001895,cerebellum,UBERON:0002037,cerebellar cortex,UBERON:0002129,,,,,,,,
,,brain,UBERON:0000955,cerebral subcortex,UBERON:0000454,collection of basal ganglia,UBERON:0010011,basal ganglion,UBERON:0002420,substantia nigra,UBERON:0002038,,,,,,,,,,
,,brain,UBERON:0000955,midbrain,UBERON:0001891,midbrain tegmentum,UBERON:0001943,ventral tegmental area,UBERON:0002691,,,,,,,,,,,,
,,brain,UBERON:0000955,midbrain,UBERON:0001891,midbrain tectum,UBERON:0002314,inferior colliculus,UBERON:0001946,,,,,,,,,,,,
,,brain,UBERON:0000955,nucleus of brain,UBERON:0002308,locus ceruleus,UBERON:0002148,,,,,,,,,,,,,,
,,brain,UBERON:0000955,ventricular zone,UBERON:0003053,,,,,,,,,,,,,,,,
,,breast,UBERON:0000310,breast epithelium,UBERON:0008367,,,,,,,,,,,,,,,,
,,breast,UBERON:0000310,upper outer quadrant of breast,UBERON:0035328,,,,,,,,,,,,,,,,
respiratory tract,UBERON:0000065,bronchus,UBERON:0002185,epithelium of bronchus,UBERON:0002031,,,,,,,,,,,,,,,,
respiratory tract,UBERON:0000065,bronchus,UBERON:0002185,terminal bronchus epithelium,UBERON:0004818,,,,,,,,,,,,,,,,
respiratory tract,UBERON:0000065,larynx,UBERON:0001737,glottis,UBERON:0002486,laryngeal vocal fold,UBERON:0003706,,,,,,,,,,,,,,
digestive tract,UBERON:0001555,stomach,UBERON:0000945,body of stomach,UBERON:0001161,,,,,,,,,,,,,,,,
digestive tract,UBERON:0001555,stomach,UBERON:0000945,gastric gland,UBERON:0000325,,,,,,,,,,,,,,,,
digestive tract,UBERON:0001555,stomach,UBERON:0000945,epithelium of stomach,UBERON:0001276,gastric gland,UBERON:0000325,pyloric gastric gland,UBERON:0008861,,,,,,,,,,,,
,,calcareous tooth,UBERON:0001091,molariform tooth,UBERON:0013164,molar tooth,UBERON:0003655,,,,,,,,,,,,,,
,,calcareous tooth,UBERON:0001091,molariform tooth,UBERON:0013164,premolar tooth,UBERON:0007120,,,,,,,,,,,,,,
,,calcareous tooth,UBERON:0001091,dental pulp,UBERON:0001754,,,,,,,,,,,,,,,,
,,calcareous tooth,UBERON:0001091,deciduous tooth,UBERON:0007115,,,,,,,,,,,,,,,,
,,connective tissue,UBERON:0002384,,,,,,,,,,,,,,,,,,
,,dentition,UBERON:0003672,periodontium,UBERON:0001758,periodontal ligament,UBERON:0008266,,,,,,,,,,,,,,
,,ear,UBERON:0001690,internal ear,UBERON:0001846,cochlea,UBERON:0001844,,,,,,,,,,,,,,
,,ear,UBERON:0001690,internal ear,UBERON:0001846,basilar membrane of cochlea,UBERON:0002226,,,,,,,,,,,,,,
,,epithelium,UBERON:0000483,squamous epithelium,UBERON:0006914,,,,,,,,,,,,,,,,
digestive tract,UBERON:0001555,esophagus,UBERON:0001043,,,,,,,,,,,,,,,,,,
,,esophagus,UBERON:0001043,esophagus muscularis mucosa,UBERON:0004648,,,,,,,,,,,,,,,,
,,esophagus,UBERON:0001043,esophagus mucosa,UBERON:0002469,,,,,,,,,,,,,,,,
,,esophagus,UBERON:0001043,esophagogastric junction,UBERON:0007650,,,,,,,,,,,,,,,,
,,layer of synovial tissue,UBERON:0007616,,,,,,,,,,,,,,,,,,
digestive tract,UBERON:0001555,intestine,UBERON:0000160,,,,,,,,,,,,,,,,,,
digestive tract,UBERON:0001555,mouth,UBERON:0000165,tongue,UBERON:0001723,,,,,,,,,,,,,,,,
digestive tract,UBERON:0001555,mouth,UBERON:0000165,oral cavity,UBERON:0000167,,,,,,,,,,,,,,,,
digestive tract,UBERON:0001555,mouth,UBERON:0000165,mouth mucosa,UBERON:0003729,gingiva,UBERON:0001828,,,,,,,,,,,,,,
digestive tract,UBERON:0001555,pharynx,UBERON:0006562,chordate pharynx,UBERON:0001042,tonsillar ring,UBERON:0001735,tonsil,UBERON:0002372,palatine tonsil,UBERON:0002373,,,,,,,,,,
digestive tract,UBERON:0001555,bile duct,UBERON:0002394,extrahepatic bile duct,UBERON:0003703,common bile duct,UBERON:0001174,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,ear vesicle,UBERON:0003051,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,embryonic structure,UBERON:0002050,blastocyst,UBERON:0000358,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,embryonic structure,UBERON:0002050,inner cell mass,UBERON:0000087,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,embryonic structure,UBERON:0002050,anterior neural tube,UBERON:0003080,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,embryonic structure,UBERON:0002050,epiblast (generic),UBERON:0002532,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,embryonic structure,UBERON:0002050,presumptive gut,UBERON:0007026,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,embryonic structure,UBERON:0002050,embryonic tissue,UBERON:0005291,endoderm,UBERON:0000925,,,,,,,,,,,,
,,embryo,UBERON:0000922,entire embryonic mesenchyme,UBERON:0009142,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,morula,UBERON:0000085,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,morula,UBERON:0000085,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,primitive streak,UBERON:0004341,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,olfactory placode,UBERON:0003050,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,ganglionic eminence,UBERON:0004023,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,germ layer,UBERON:0000923,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,future brain,UBERON:0006238,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,pronephros,UBERON:0002120,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,future cardiac ventricle,UBERON:0006283,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,insect embryonic brain,UBERON:6001060,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,pancreatic epithelial bud,UBERON:0003922,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,embryoid body,UBERON:0014374,,,,,,,,,,,,,,,,
,,embryo,UBERON:0000922,proamniotic cavity,UBERON:0009742,,,,,,,,,,,,,,,,
,,eye,UBERON:0000970,photoreceptor array,UBERON:0005388,retina,UBERON:0000966,layer of retina,UBERON:0001781,retinal neural layer,UBERON:0003902,,,,,,,,,,
,,eye,UBERON:0000970,photoreceptor array,UBERON:0005388,retina,UBERON:0000966,layer of retina,UBERON:0001781,sublaminar layer S5,UBERON:0008926,,,,,,,,,,
,,eye,UBERON:0000970,photoreceptor array,UBERON:0005388,retina,UBERON:0000966,layer of retina,UBERON:0001781,pigmented layer of retina,UBERON:0001782,,,,,,,,,,
,,eye,UBERON:0000970,photoreceptor array,UBERON:0005388,retina,UBERON:0000966,layer of retina,UBERON:0001781,inner nuclear layer of retina,UBERON:0001791,,,,,,,,,,
,,eye,UBERON:0000970,photoreceptor array,UBERON:0005388,retina,UBERON:0000966,macula lutea,UBERON:0000053,fovea centralis,UBERON:0001786,,,,,,,,,,
,,eye,UBERON:0000970,photoreceptor array,UBERON:0005388,retina,UBERON:0000966,macula lutea,UBERON:0000053,perifoveal part of retina,UBERON:0018105,,,,,,,,,,
,,eye,UBERON:0000970,photoreceptor array,UBERON:0005388,retina,UBERON:0000966,peripheral region of retina,UBERON:0013682,,,,,,,,,,,,
,,eye,UBERON:0000970,simple eye,UBERON:0000047,camera-type eye,UBERON:0000019,eyeball of camera-type eye,UBERON:0010230,anterior segment of eyeball,UBERON:0001801,uvea,UBERON:0001768,,,,,,,,
,,eye,UBERON:0000970,simple eye,UBERON:0000047,camera-type eye,UBERON:0000019,corneo-scleral junction,UBERON:0006761,,,,,,,,,,,,
,,eye,UBERON:0000970,simple eye,UBERON:0000047,camera-type eye,UBERON:0000019,cornea,UBERON:0000964,,,,,,,,,,,,
,,eye,UBERON:0000970,eye gland,UBERON:0004859,lacrimal gland,UBERON:0001817,,,,,,,,,,,,,,
,,eye,UBERON:0000970,eye epithelium,UBERON:0015808,corneal endothelium,UBERON:0001985,,,,,,,,,,,,,,
,,eye,UBERON:0000970,eye epithelium,UBERON:0015808,corneal epithelium,UBERON:0001772,,,,,,,,,,,,,,
,,fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,
,,gall bladder,UBERON:0002110,,,,,,,,,,,,,,,,,,
reproductive gland,UBERON:0003937,prostate gland,UBERON:0002367,transition zone of prostate,UBERON:8410025,,,,,,,,,,,,,,,,
reproductive gland,UBERON:0003937,prostate gland,UBERON:0002367,peripheral zone of prostate,UBERON:8410026,,,,,,,,,,,,,,,,
endocrine gland,UBERON:0002368,thyroid gland,UBERON:0002046,,,,,,,,,,,,,,,,,,
endocrine gland,UBERON:0002368,thymus,UBERON:0002370,,,,,,,,,,,,,,,,,,
endocrine gland,UBERON:0002368,adrenal gland,UBERON:0002369,,,,,,,,,,,,,,,,,,
endocrine gland,UBERON:0002368,parathyroid gland,UBERON:0001132,,,,,,,,,,,,,,,,,,
endocrine gland,UBERON:0002368,corpus luteum,UBERON:0002512,,,,,,,,,,,,,,,,,,
gland of digestive tract,UBERON:0003408,oral gland,UBERON:0010047,parotid gland,UBERON:0001831,,,,,,,,,,,,,,,,
gland of digestive tract,UBERON:0003408,oral gland,UBERON:0010047,submandibular gland,UBERON:0001736,,,,,,,,,,,,,,,,
,,gonad,UBERON:0000991,,,,,,,,,,,,,,,,,,
gonad,UBERON:0000991,ovary,UBERON:0000992,secondary ovarian follicle,UBERON:0000036,,,,,,,,,,,,,,,,
gonad,UBERON:0000991,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,primordial ovarian follicle,UBERON:0003981,,,,,,,,,,,,,,
gonad,UBERON:0000991,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,primary ovarian follicle,UBERON:0000035,,,,,,,,,,,,,,
gonad,UBERON:0000991,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,mature ovarian follicle,UBERON:0003982,,,,,,,,,,,,,,
gonad,UBERON:0000991,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,mature ovarian follicle,UBERON:0003982,,,,,,,,,,,,,,
gonad,UBERON:0000991,ovary,UBERON:0000992,ovarian follicle,UBERON:0001305,follicular antrum,UBERON:0000039,,,,,,,,,,,,,,
gonad,UBERON:0000991,ovary,UBERON:0000992,ovarian cortex,UBERON:0013191,,,,,,,,,,,,,,,,
,,oviduct,UBERON:0000993,,,,,,,,,,,,,,,,,,
gonad,UBERON:0000991,testis,UBERON:0000473,,,,,,,,,,,,,,,,,,
