project_id,omics_id,experiment_id,protocol,sample_relationship,species,description,organ,sample_number,cell_number
PRO000000257,SPT000000026,EPT000000257,p1,independent,Homo sapiens,,spinal cord,1,2812
PRO000000258,SPT000000027,EPT000000258,p1,independent,Homo sapiens,,brain,1,4992
PRO000000259,SPT000000028,EPT000000259,p1,independent,Homo sapiens,,brain,1,4992
PRO000000260,SPT000000029,EPT000000260,p1,independent,Homo sapiens,,prostate gland,1,4371
PRO000000261,SPT000000030,EPT000000261,p1,independent,Homo sapiens,,prostate gland,1,3460
PRO000000262,SPT000000031,EPT000000262,p1,independent,Homo sapiens,,prostate gland,1,2543
PRO000000263,SPT000000032,EPT000000263,p1,independent,Homo sapiens,,breast,1,2518
PRO000000264,SPT000000033,EPT000000264,p1,independent,Mus musculus,,brain,1,2438
PRO000000265,SPT000000034,EPT000000265,p1,independent,Mus musculus,,kidney,1,3124
PRO000000266,SPT000000107,EPT000000266,p1,independent,Mus musculus,,brain,1,2264
PRO000000271,SPT000000035,EPT000000272,Mosta specific,time_series,Mus musculus,E10.5_E2S1,embryo,1,8494
PRO000000271,SPT000000036,EPT000000272,Mosta specific,time_series,Mus musculus,E10.5_E1S3,embryo,1,18670
PRO000000271,SPT000000037,EPT000000272,Mosta specific,time_series,Mus musculus,E10.5_E1S1,embryo,1,18408
PRO000000271,SPT000000038,EPT000000272,Mosta specific,time_series,Mus musculus,E10.5_E1S2,embryo,1,18647
PRO000000271,SPT000000039,EPT000000272,Mosta specific,time_series,Mus musculus,E11.5_E1S3,embryo,1,27455
PRO000000271,SPT000000040,EPT000000272,Mosta specific,time_series,Mus musculus,E11.5_E1S4,embryo,1,30775
PRO000000271,SPT000000041,EPT000000272,Mosta specific,time_series,Mus musculus,E11.5_E1S1,embryo,1,30124
PRO000000271,SPT000000042,EPT000000272,Mosta specific,time_series,Mus musculus,E11.5_E1S2,embryo,1,30756
PRO000000271,SPT000000043,EPT000000272,Mosta specific,time_series,Mus musculus,E12.5_E2S1,embryo,1,23640
PRO000000271,SPT000000044,EPT000000272,Mosta specific,time_series,Mus musculus,E12.5_E1S5,embryo,1,45669
PRO000000271,SPT000000045,EPT000000272,Mosta specific,time_series,Mus musculus,E12.5_E1S2,embryo,1,47436
PRO000000271,SPT000000046,EPT000000272,Mosta specific,time_series,Mus musculus,E12.5_E1S1,embryo,1,51365
PRO000000271,SPT000000047,EPT000000272,Mosta specific,time_series,Mus musculus,E12.5_E1S4,embryo,1,55295
PRO000000271,SPT000000048,EPT000000272,Mosta specific,time_series,Mus musculus,E12.5_E1S3,embryo,1,49908
PRO000000271,SPT000000049,EPT000000272,Mosta specific,time_series,Mus musculus,E13.5_E1S1,embryo,1,77369
PRO000000271,SPT000000050,EPT000000272,Mosta specific,time_series,Mus musculus,E13.5_E1S4,embryo,1,73168
PRO000000271,SPT000000051,EPT000000272,Mosta specific,time_series,Mus musculus,E13.5_E1S3,embryo,1,84811
PRO000000271,SPT000000052,EPT000000272,Mosta specific,time_series,Mus musculus,E13.5_E1S2,embryo,1,64584
PRO000000271,SPT000000053,EPT000000272,Mosta specific,time_series,Mus musculus,E14.5_E2S1,embryo,1,92764
PRO000000271,SPT000000054,EPT000000272,Mosta specific,time_series,Mus musculus,E14.5_E2S2,embryo,1,112086
PRO000000271,SPT000000055,EPT000000272,Mosta specific,time_series,Mus musculus,E14.5_E1S3,embryo,1,92928
PRO000000271,SPT000000056,EPT000000272,Mosta specific,time_series,Mus musculus,E14.5_E1S5,embryo,1,101353
PRO000000271,SPT000000057,EPT000000272,Mosta specific,time_series,Mus musculus,E14.5_E1S4,embryo,1,105857
PRO000000271,SPT000000058,EPT000000272,Mosta specific,time_series,Mus musculus,E14.5_E1S1,embryo,1,102519
PRO000000271,SPT000000059,EPT000000272,Mosta specific,time_series,Mus musculus,E14.5_E1S2,embryo,1,102977
PRO000000271,SPT000000060,EPT000000272,Mosta specific,time_series,Mus musculus,E15.5_E2S1,embryo,1,72944
PRO000000271,SPT000000061,EPT000000272,Mosta specific,time_series,Mus musculus,E15.5_E1S3,embryo,1,104042
PRO000000271,SPT000000062,EPT000000272,Mosta specific,time_series,Mus musculus,E15.5_E1S4,embryo,1,104845
PRO000000271,SPT000000063,EPT000000272,Mosta specific,time_series,Mus musculus,E15.5_E1S2,embryo,1,109811
PRO000000271,SPT000000064,EPT000000272,Mosta specific,time_series,Mus musculus,E15.5_E1S1,embryo,1,113350
PRO000000271,SPT000000065,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S1,embryo,1,121767
PRO000000271,SPT000000066,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S3,embryo,1,155741
PRO000000271,SPT000000067,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S2,embryo,1,120842
PRO000000271,SPT000000068,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S5,embryo,1,152559
PRO000000271,SPT000000069,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S4,embryo,1,135973
PRO000000271,SPT000000070,EPT000000272,Mosta specific,time_series,Mus musculus,E9.5_E1S1,embryo,1,5913
PRO000000271,SPT000000071,EPT000000272,Mosta specific,time_series,Mus musculus,E9.5_E2S2,embryo,1,4356
PRO000000271,SPT000000072,EPT000000272,Mosta specific,time_series,Mus musculus,E9.5_E2S1,embryo,1,5292
PRO000000271,SPT000000073,EPT000000272,Mosta specific,time_series,Mus musculus,E9.5_E2S3,embryo,1,5059
PRO000000271,SPT000000074,EPT000000272,Mosta specific,time_series,Mus musculus,E9.5_E2S4,embryo,1,5797
PRO000000271,SPT000000075,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S4,embryo,1,99212
PRO000000271,SPT000000076,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S11,embryo,1,109399
PRO000000271,SPT000000077,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S12,embryo,1,94733
PRO000000271,SPT000000078,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S5,embryo,1,132481
PRO000000271,SPT000000079,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S6,embryo,1,137209
PRO000000271,SPT000000080,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S7,embryo,1,155159
PRO000000271,SPT000000081,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S1,embryo,1,59125
PRO000000271,SPT000000082,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S2,embryo,1,73922
PRO000000271,SPT000000083,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S3,embryo,1,110755
PRO000000271,SPT000000084,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S8,embryo,1,120854
PRO000000271,SPT000000085,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S9,embryo,1,129425
PRO000000271,SPT000000086,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S10,embryo,1,114026
PRO000000271,SPT000000087,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S13,embryo,1,77748
PRO000000271,SPT000000088,EPT000000273,Mosta specific,time_series,Mus musculus,Mouse_olfa_S1,brain,1,107416
PRO000000271,SPT000000089,EPT000000273,Mosta specific,time_series,Mus musculus,Mouse_olfa_S2,brain,1,104931
PRO000000271,SPT000000090,EPT000000274,Mosta specific,time_series,Mus musculus,Mouse_brain,brain,1,38746
PRO000000288,SPT000000091,EPT000000291,Spatial_ID specific,serial_section,Mus musculus,Spatial-ID:A new cell typing method,brain,1,38811
PRO000000288,SPT000000092,EPT000000292,Spatial_ID specific,serial_section,Mus musculus,Spatial-ID:A new cell typing method,brain,1,44269
PRO000000288,SPT000000093,EPT000000293,Spatial_ID specific,serial_section,Mus musculus,Spatial-ID:A new cell typing method,brain,1,45201
PRO000000271,SPT000000094,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S3_dorsal_midbrain_cellbin,embryo,1,26738
PRO000000271,SPT000000095,EPT000000272,Mosta specific,time_series,Mus musculus,E12.5_E1S3_dorsal_midbrain_cellbin,embryo,1,4271
PRO000000271,SPT000000096,EPT000000272,Mosta specific,time_series,Mus musculus,E14.5_E1S3_dorsal_midbrain_cellbin,embryo,1,4872
PRO000000271,SPT000000097,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S3_cellbin,embryo,1,281377
PRO000000271,SPT000000098,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S3_whole_brain_cellbin,embryo,1,65303
PRO000000271,SPT000000099,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S3_dorsal_midbrain_cellbin,embryo,1,6892
PRO000000271,SPT000000100,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S3_whole_brain_cellbin,embryo,1,69447
PRO000000271,SPT000000101,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E1S3_whole_embryo_cellbin,embryo,1,332173
PRO000000271,SPT000000102,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S6_dorsal_midbrain_cellbin,embryo,1,6229
PRO000000271,SPT000000103,EPT000000272,Mosta specific,time_series,Mus musculus,E16.5_E2S7_dorsal_midbrain_cellbin,embryo,1,7960
PRO000000271,SPT000000104,EPT000000272,Mosta specific,time_series,Mus musculus,Mouse_brain_adult_cellbin,brain,1,115451
PRO000000271,SPT000000105,EPT000000272,Mosta specific,time_series,Mus musculus,Mouse_brain_cellbin,brain,1,50140
PRO000000271,SPT000000106,EPT000000272,Mosta specific,time_series,Mus musculus,E9.5-E16.5_all_stage,embryo,8,520815
PRO000000278,SCT000000253,EPT000000281,p1,independent,Homo sapiens,,lung,1,3918
PRO000000278,SCT000000254,EPT000000281,p1,independent,Homo sapiens,,lung,1,902
PRO000000278,SCT000000255,EPT000000281,p1,independent,Homo sapiens,,lung,1,297
PRO000000278,SCT000000256,EPT000000281,p1,independent,Homo sapiens,,lung,1,307
PRO000000278,SCT000000257,EPT000000281,p1,independent,Homo sapiens,,lung,1,305
PRO000000278,SCT000000258,EPT000000281,p1,independent,Homo sapiens,,lung,1,274
PRO000000278,SCT000000259,EPT000000281,p1,independent,Homo sapiens,,lung,1,225
PRO000000279,SCT000000260,EPT000000282,p1,independent,Homo sapiens,,pancreas,1,1937
PRO000000279,SCT000000261,EPT000000282,p1,independent,Homo sapiens,,pancreas,1,1724
PRO000000279,SCT000000262,EPT000000282,p1,independent,Homo sapiens,,pancreas,1,3605
PRO000000279,SCT000000263,EPT000000282,p1,independent,Homo sapiens,,pancreas,1,1303
PRO000000279,SCT000000264,EPT000000282,p1,independent,Mus musculus,,pancreas,1,822
PRO000000279,SCT000000265,EPT000000282,p1,independent,Mus musculus,,pancreas,1,1064
