project_id,omics_id,experiment_id,protocol,sample_relationship,species,description,organ,sample_number,cell_number
PRO000000115,SCT000000115,EPT000000115,p1,independent,Homo sapiens,,blood,10,6178
PRO000000116,SCT000000116,EPT000000116,p1,independent,Homo sapiens,,bone marrow|liver,5625,5625
PRO000000119,SCT000000119,EPT000000119,p1,independent,Homo sapiens,,lung,4,4788
PRO000000120,SCT000000120,EPT000000120,p1,independent,Mus musculus,,embryo,1,4266
PRO000000121,SCT000000121,EPT000000121,p1,independent,Mus musculus,,spleen,2320,2320
PRO000000123,SCT000000123,EPT000000123,p1,independent,Homo sapiens,,brain,3576,3576
PRO000000124,SCT000000124,EPT000000124,p1,independent,Homo sapiens,,pancreas,3229,3229
PRO000000125,SCT000000125,EPT000000125,p1,independent,Mus musculus,,brain,3186,3186
PRO000000126,SCT000000126,EPT000000126,p1,independent,Mus musculus,,adipose tissue,1,3083
PRO000000127,SCT000000127,EPT000000127,p1,independent,Mus musculus,,spleen,1,3064
PRO000000128,SCT000000128,EPT000000128,p1,independent,Mus musculus,,skin of body,1,2772
PRO000000129,SCT000000129,EPT000000129,p1,independent,Homo sapiens,,specific cell,1,2720
PRO000000130,SCT000000130,EPT000000130,p1,independent,Mus musculus,,embryo,2668,2668
PRO000000131,SCT000000131,EPT000000131,p1,independent,Homo sapiens,,pancreas,2544,2544
PRO000000132,SCT000000132,EPT000000132,p1,independent,Homo sapiens,,blood,2244,2244
PRO000000133,SCT000000133,EPT000000133,p1,independent,Mus musculus,,brain,2098,2098
PRO000000135,SCT000000135,EPT000000135,p1,independent,Homo sapiens,,bone marrow,2151,2151
PRO000000136,SCT000000136,EPT000000136,p1,independent,Mus musculus,,bone marrow,1608,1608
PRO000000138,SCT000000138,EPT000000138,p1,independent,Mus musculus,,stomach,1837,1837
PRO000000139,SCT000000139,EPT000000139,p1,independent,Homo sapiens,,skin of body,1920,1920
PRO000000140,SCT000000140,EPT000000140,p1,independent,Mus musculus,,bone marrow,1920,1920
PRO000000142,SCT000000142,EPT000000142,p1,independent,Mus musculus,,brain,1787,1787
PRO000000143,SCT000000143,EPT000000143,p1,independent,Homo sapiens,,embryo,1733,1733
PRO000000144,SCT000000144,EPT000000144,p1,independent,Homo sapiens,,pancreas,1600,1600
PRO000000145,SCT000000145,EPT000000145,p1,independent,Mus musculus,,intestine,1521,1521
PRO000000146,SCT000000146,EPT000000146,p1,independent,Mus musculus,,lung,1504,1504
PRO000000147,SCT000000147,EPT000000147,p1,independent,Homo sapiens,,liver,1307,1307
PRO000000148,SCT000000148,EPT000000148,p1,independent,Homo sapiens,,embryo,2,1449
PRO000000149,SCT000000149,EPT000000149,p1,independent,Homo sapiens,,embryo,1344,1344
PRO000000150,SCT000000150,EPT000000150,p1,independent,Mus musculus,,heart,1,1184
PRO000000151,SCT000000151,EPT000000151,p1,independent,Homo sapiens,,pancreas,1145,1145
PRO000000152,SCT000000152,EPT000000152,p1,independent,Mus musculus,,bone marrow,1147,1147
PRO000000154,SCT000000154,EPT000000154,p1,independent,Mus musculus,,skin of body,1078,1078
PRO000000156,SCT000000156,EPT000000156,p1,independent,Homo sapiens,,blood,1018,1018
PRO000000157,SCT000000157,EPT000000157,p1,independent,Homo sapiens,,bone marrow,1024,1024
PRO000000158,SCT000000158,EPT000000158,p1,independent,Mus musculus,,embryo,1009,1009
PRO000000159,SCT000000159,EPT000000159,p1,independent,Homo sapiens,,blood|umbilical cord,957,957
PRO000000160,SCT000000160,EPT000000160,p1,independent,Homo sapiens,,breast,809,809
PRO000000161,SCT000000161,EPT000000161,p1,independent,Homo sapiens,,breast,809,809
PRO000000163,SCT000000163,EPT000000163,p1,independent,Mus musculus,,intestine,1,845
PRO000000165,SCT000000165,EPT000000165,p1,independent,Homo sapiens,,embryo|skin of body,734,734
PRO000000166,SCT000000166,EPT000000166,p1,independent,Homo sapiens,,skin of body,681,681
PRO000000167,SCT000000167,EPT000000167,p1,independent,Homo sapiens,,skin of body,674,674
PRO000000168,SCT000000168,EPT000000168,p1,independent,Homo sapiens,,brain,96,96
PRO000000169,SCT000000169,EPT000000169,p1,independent,Homo sapiens,,tonsil,648,648
PRO000000170,SCT000000170,EPT000000170,p1,independent,Homo sapiens,,pancreas,635,635
PRO000000171,SCT000000171,EPT000000171,p1,independent,Homo sapiens,,skin of body,590,590
PRO000000172,SCT000000172,EPT000000172,p1,independent,Mus musculus,,spleen,566,566
PRO000000173,SCT000000173,EPT000000173,p1,independent,Homo sapiens,,specific cell|skin of body,123,123
PRO000000174,SCT000000174,EPT000000174,p1,independent,Homo sapiens,,embryo|eye,546,546
PRO000000175,SCT000000175,EPT000000175,p1,independent,Homo sapiens,,breast|lymph node,540,540
PRO000000176,SCT000000176,EPT000000176,p1,independent,Homo sapiens,,lung,540,540
PRO000000179,SCT000000179,EPT000000179,p1,independent,Mus musculus,,embryo|skin of body,471,471
PRO000000180,SCT000000180,EPT000000180,p1,independent,Homo sapiens,,umbilical cord,415,415
PRO000000181,SCT000000181,EPT000000181,p1,independent,Mus musculus,,intestine,387,387
PRO000000182,SCT000000182,EPT000000182,p1,independent,Homo sapiens,,blood,342,342
PRO000000183,SCT000000183,EPT000000183,p1,independent,Mus musculus,,bone marrow,378,378
PRO000000184,SCT000000184,EPT000000184,p1,independent,Homo sapiens,,tonsil,1,352
PRO000000185,SCT000000185,EPT000000185,p1,independent,Mus musculus,,adipose tissue,380,380
PRO000000186,SCT000000186,EPT000000186,p1,independent,Mus musculus,,skin of body,375,375
PRO000000187,SCT000000187,EPT000000187,p1,independent,Homo sapiens,,blood|skin of body,332,332
PRO000000188,SCT000000188,EPT000000188,p1,independent,Mus musculus,,embryo,333,333
PRO000000189,SCT000000189,EPT000000189,p1,independent,Homo sapiens,,specific cell,329,329
