sample_id,omics_id,sample_name,organ,species,sample_number,cell_number
SAM000183111,SCT000000274,RHP4715 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183109,SCT000000274,RHP4713 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183015,SCT000000274,RHP4619 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183016,SCT000000274,RHP4620 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183017,SCT000000274,RHP4621 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183018,SCT000000274,RHP4622 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183019,SCT000000274,RHP4623 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183020,SCT000000274,RHP4624 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183021,SCT000000274,RHP4625 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183022,SCT000000274,RHP4626 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183023,SCT000000274,RHP4627 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183024,SCT000000274,RHP4628 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183026,SCT000000274,RHP4630 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183027,SCT000000274,RHP4631 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183028,SCT000000274,RHP4632 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183029,SCT000000274,RHP4633 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183030,SCT000000274,RHP4634 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183031,SCT000000274,RHP4635 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183033,SCT000000274,RHP4637 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183034,SCT000000274,RHP4638 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183035,SCT000000274,RHP4639 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183036,SCT000000274,RHP4640 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183037,SCT000000274,RHP4641 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183038,SCT000000274,RHP4642 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183039,SCT000000274,RHP4643 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183040,SCT000000274,RHP4644 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183041,SCT000000274,RHP4645 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183042,SCT000000274,RHP4646 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183043,SCT000000274,RHP4647 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183014,SCT000000274,RHP4618 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183011,SCT000000274,RHP4615 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183010,SCT000000274,RHP4614 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183009,SCT000000274,RHP4613 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182976,SCT000000274,RHP4580 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182977,SCT000000274,RHP4581 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182978,SCT000000274,RHP4582 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182981,SCT000000274,RHP4585 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182982,SCT000000274,RHP4586 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182983,SCT000000274,RHP4587 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182985,SCT000000274,RHP4589 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182986,SCT000000274,RHP4590 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182987,SCT000000274,RHP4591 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182989,SCT000000274,RHP4593 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182990,SCT000000274,RHP4594 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182991,SCT000000274,RHP4595 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182992,SCT000000274,RHP4596 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183044,SCT000000274,RHP4648 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182993,SCT000000274,RHP4597 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182995,SCT000000274,RHP4599 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182996,SCT000000274,RHP4600 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182997,SCT000000274,RHP4601 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182998,SCT000000274,RHP4602 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183000,SCT000000274,RHP4604 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183001,SCT000000274,RHP4605 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183002,SCT000000274,RHP4606 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183003,SCT000000274,RHP4607 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183004,SCT000000274,RHP4608 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183005,SCT000000274,RHP4609 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183006,SCT000000274,RHP4610 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183007,SCT000000274,RHP4611 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183008,SCT000000274,RHP4612 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000182994,SCT000000274,RHP4598 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183045,SCT000000274,RHP4649 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183047,SCT000000274,RHP4651 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183048,SCT000000274,RHP4652 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183081,SCT000000274,RHP4685 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183082,SCT000000274,RHP4686 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183083,SCT000000274,RHP4687 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183084,SCT000000274,RHP4688 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183085,SCT000000274,RHP4689 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183086,SCT000000274,RHP4690 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183087,SCT000000274,RHP4691 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183088,SCT000000274,RHP4692 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183089,SCT000000274,RHP4693 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183090,SCT000000274,RHP4694 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183091,SCT000000274,RHP4695 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183092,SCT000000274,RHP4696 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183093,SCT000000274,RHP4697 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183080,SCT000000274,RHP4684 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183094,SCT000000274,RHP4698 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183096,SCT000000274,RHP4700 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183097,SCT000000274,RHP4701 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183098,SCT000000274,RHP4702 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183099,SCT000000274,RHP4703 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183100,SCT000000274,RHP4704 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183101,SCT000000274,RHP4705 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183102,SCT000000274,RHP4706 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183103,SCT000000274,RHP4707 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183104,SCT000000274,RHP4708 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183105,SCT000000274,RHP4709 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183106,SCT000000274,RHP4710 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183107,SCT000000274,RHP4711 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183108,SCT000000274,RHP4712 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183095,SCT000000274,RHP4699 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183110,SCT000000274,RHP4714 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183079,SCT000000274,RHP4683 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183077,SCT000000274,RHP4681 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183049,SCT000000274,RHP4653 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183050,SCT000000274,RHP4654 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183051,SCT000000274,RHP4655 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183052,SCT000000274,RHP4656 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183053,SCT000000274,RHP4657 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183054,SCT000000274,RHP4658 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183055,SCT000000274,RHP4659 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183056,SCT000000274,RHP4660 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183057,SCT000000274,RHP4661 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183058,SCT000000274,RHP4662 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183059,SCT000000274,RHP4663 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183060,SCT000000274,RHP4664 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183061,SCT000000274,RHP4665 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183078,SCT000000274,RHP4682 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183062,SCT000000274,RHP4666 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183064,SCT000000274,RHP4668 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183065,SCT000000274,RHP4669 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183066,SCT000000274,RHP4670 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183067,SCT000000274,RHP4671 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183068,SCT000000274,RHP4672 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183069,SCT000000274,RHP4673 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183070,SCT000000274,RHP4674 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183071,SCT000000274,RHP4675 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183072,SCT000000274,RHP4676 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183073,SCT000000274,RHP4677 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183074,SCT000000274,RHP4678 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183075,SCT000000274,RHP4679 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183076,SCT000000274,RHP4680 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183063,SCT000000274,RHP4667 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183244,SCT000000274,RHP4848 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183245,SCT000000274,RHP4849 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183248,SCT000000274,RHP4852 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183425,SCT000000274,RHP5029 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183426,SCT000000274,RHP5030 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183427,SCT000000274,RHP5031 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183428,SCT000000274,RHP5032 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183429,SCT000000274,RHP5033 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183430,SCT000000274,RHP5034 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183432,SCT000000274,RHP5036 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183433,SCT000000274,RHP5037 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183434,SCT000000274,RHP5038 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183435,SCT000000274,RHP5039 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183436,SCT000000274,RHP5040 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183437,SCT000000274,RHP5041 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183438,SCT000000274,RHP5042 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183439,SCT000000274,RHP5043 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183440,SCT000000274,RHP5044 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183441,SCT000000274,RHP5045 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183442,SCT000000274,RHP5046 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183443,SCT000000274,RHP5047 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183444,SCT000000274,RHP5048 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183445,SCT000000274,RHP5049 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183446,SCT000000274,RHP5050 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183447,SCT000000274,RHP5051 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183448,SCT000000274,RHP5052 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183449,SCT000000274,RHP5053 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183450,SCT000000274,RHP5054 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183451,SCT000000274,RHP5055 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183452,SCT000000274,RHP5056 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183424,SCT000000274,RHP5028 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183423,SCT000000274,RHP5027 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183421,SCT000000274,RHP5025 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183419,SCT000000274,RHP5023 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183386,SCT000000274,RHP4990 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183387,SCT000000274,RHP4991 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183388,SCT000000274,RHP4992 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183389,SCT000000274,RHP4993 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183390,SCT000000274,RHP4994 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183391,SCT000000274,RHP4995 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183392,SCT000000274,RHP4996 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183393,SCT000000274,RHP4997 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183395,SCT000000274,RHP4999 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183396,SCT000000274,RHP5000 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183397,SCT000000274,RHP5001 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183398,SCT000000274,RHP5002 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183399,SCT000000274,RHP5003 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183453,SCT000000274,RHP5057 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183400,SCT000000274,RHP5004 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183402,SCT000000274,RHP5006 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183403,SCT000000274,RHP5007 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183404,SCT000000274,RHP5008 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183407,SCT000000274,RHP5011 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183408,SCT000000274,RHP5012 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183409,SCT000000274,RHP5013 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183410,SCT000000274,RHP5014 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183411,SCT000000274,RHP5015 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183413,SCT000000274,RHP5017 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183414,SCT000000274,RHP5018 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183416,SCT000000274,RHP5020 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183417,SCT000000274,RHP5021 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183418,SCT000000274,RHP5022 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183401,SCT000000274,RHP5005 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183454,SCT000000274,RHP5058 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183456,SCT000000274,RHP5060 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183457,SCT000000274,RHP5061 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183491,SCT000000274,RHP5095 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183492,SCT000000274,RHP5096 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183493,SCT000000274,RHP5097 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183495,SCT000000274,RHP5099 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183496,SCT000000274,RHP5100 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183497,SCT000000274,RHP5101 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183499,SCT000000274,RHP5103 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183500,SCT000000274,RHP5104 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183501,SCT000000274,RHP5105 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183502,SCT000000274,RHP5106 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183503,SCT000000274,RHP5107 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183504,SCT000000274,RHP5108 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183505,SCT000000274,RHP5109 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183490,SCT000000274,RHP5094 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183506,SCT000000274,RHP5110 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183508,SCT000000274,RHP5112 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183510,SCT000000274,RHP5114 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183511,SCT000000274,RHP5115 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183513,SCT000000274,RHP5117 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183515,SCT000000274,RHP5119 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183516,SCT000000274,RHP5120 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183517,SCT000000274,RHP5121 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183518,SCT000000274,RHP5122 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183519,SCT000000274,RHP5123 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183520,SCT000000274,RHP5124 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183521,SCT000000274,RHP5125 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183522,SCT000000274,RHP5126 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183523,SCT000000274,RHP5127 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183507,SCT000000274,RHP5111 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183385,SCT000000274,RHP4989 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183489,SCT000000274,RHP5093 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183486,SCT000000274,RHP5090 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183458,SCT000000274,RHP5062 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183459,SCT000000274,RHP5063 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183460,SCT000000274,RHP5064 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183461,SCT000000274,RHP5065 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183462,SCT000000274,RHP5066 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183463,SCT000000274,RHP5067 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183464,SCT000000274,RHP5068 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183465,SCT000000274,RHP5069 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183466,SCT000000274,RHP5070 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183467,SCT000000274,RHP5071 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183468,SCT000000274,RHP5072 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183469,SCT000000274,RHP5073 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183470,SCT000000274,RHP5074 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183487,SCT000000274,RHP5091 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183471,SCT000000274,RHP5075 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183473,SCT000000274,RHP5077 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183474,SCT000000274,RHP5078 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183475,SCT000000274,RHP5079 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183476,SCT000000274,RHP5080 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183477,SCT000000274,RHP5081 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183478,SCT000000274,RHP5082 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183479,SCT000000274,RHP5083 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183480,SCT000000274,RHP5084 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183481,SCT000000274,RHP5085 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183482,SCT000000274,RHP5086 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183483,SCT000000274,RHP5087 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183484,SCT000000274,RHP5088 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183485,SCT000000274,RHP5089 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183472,SCT000000274,RHP5076 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183384,SCT000000274,RHP4988 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183383,SCT000000274,RHP4987 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183382,SCT000000274,RHP4986 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183285,SCT000000274,RHP4889 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183286,SCT000000274,RHP4890 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183287,SCT000000274,RHP4891 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183289,SCT000000274,RHP4893 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183290,SCT000000274,RHP4894 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183291,SCT000000274,RHP4895 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183293,SCT000000274,RHP4897 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183294,SCT000000274,RHP4898 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183295,SCT000000274,RHP4899 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183296,SCT000000274,RHP4900 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183297,SCT000000274,RHP4901 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183298,SCT000000274,RHP4902 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183299,SCT000000274,RHP4903 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183284,SCT000000274,RHP4888 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183300,SCT000000274,RHP4904 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183302,SCT000000274,RHP4906 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183303,SCT000000274,RHP4907 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183304,SCT000000274,RHP4908 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183305,SCT000000274,RHP4909 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183306,SCT000000274,RHP4910 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183307,SCT000000274,RHP4911 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183308,SCT000000274,RHP4912 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183309,SCT000000274,RHP4913 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183310,SCT000000274,RHP4914 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183311,SCT000000274,RHP4915 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183312,SCT000000274,RHP4916 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183313,SCT000000274,RHP4917 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183314,SCT000000274,RHP4918 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183301,SCT000000274,RHP4905 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183315,SCT000000274,RHP4919 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183283,SCT000000274,RHP4887 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183281,SCT000000274,RHP4885 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183249,SCT000000274,RHP4853 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183251,SCT000000274,RHP4855 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183252,SCT000000274,RHP4856 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183253,SCT000000274,RHP4857 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183254,SCT000000274,RHP4858 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183255,SCT000000274,RHP4859 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183256,SCT000000274,RHP4860 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183257,SCT000000274,RHP4861 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183258,SCT000000274,RHP4862 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183260,SCT000000274,RHP4864 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183261,SCT000000274,RHP4865 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183262,SCT000000274,RHP4866 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183265,SCT000000274,RHP4869 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183282,SCT000000274,RHP4886 scRNA-Seq,liver,Homo sapiens,2238,2036
SAM000183266,SCT000000274,RHP4870 scRNA-Seq,liver,Homo sapiens,2238,2036
