sample_id,omics_id,sample_name,organ,species,sample_number,cell_number
SAM000181517,SCT000000268,LIB046507_TRA00182832_S2_quant,blood,Homo sapiens,95,72
SAM000181516,SCT000000268,LIB046507_TRA00182830_S1_quant,blood,Homo sapiens,95,72
SAM000181577,SCT000000268,LIB046510_TRA00182861_S8_quant,blood,Homo sapiens,95,72
SAM000181568,SCT000000268,LIB046509_TRA00182898_S17_quant,blood,Homo sapiens,95,72
SAM000181567,SCT000000268,LIB046509_TRA00182896_S16_quant,blood,Homo sapiens,95,72
SAM000181566,SCT000000268,LIB046509_TRA00182894_S15_quant,blood,Homo sapiens,95,72
SAM000181565,SCT000000268,LIB046509_TRA00182884_S14_quant,liver,Homo sapiens,95,72
SAM000181563,SCT000000268,LIB046509_TRA00182880_S12_quant,liver,Homo sapiens,95,72
SAM000181562,SCT000000268,LIB046509_TRA00182878_S11_quant,liver,Homo sapiens,95,72
SAM000181569,SCT000000268,LIB046509_TRA00182900_S18_quant,blood,Homo sapiens,95,72
SAM000181561,SCT000000268,LIB046509_TRA00182868_S10_quant,blood,Homo sapiens,95,72
SAM000181559,SCT000000268,LIB046509_TRA00182858_S7_quant,blood,Homo sapiens,95,72
SAM000181558,SCT000000268,LIB046509_TRA00182852_S6_quant,liver,Homo sapiens,95,72
SAM000181557,SCT000000268,LIB046509_TRA00182850_S5_quant,liver,Homo sapiens,95,72
SAM000181556,SCT000000268,LIB046509_TRA00182840_S4_quant,liver,Homo sapiens,95,72
SAM000181555,SCT000000268,LIB046509_TRA00182838_S3_quant,liver,Homo sapiens,95,72
SAM000181554,SCT000000268,LIB046509_TRA00182836_S2_quant,blood,Homo sapiens,95,72
SAM000181560,SCT000000268,LIB046509_TRA00182860_S8_quant,blood,Homo sapiens,95,72
SAM000181553,SCT000000268,LIB046509_TRA00182834_S1_quant,blood,Homo sapiens,95,72
SAM000181570,SCT000000268,LIB046510_TRA00182835_S1_quant,blood,Homo sapiens,95,72
SAM000181572,SCT000000268,LIB046510_TRA00182839_S3_quant,liver,Homo sapiens,95,72
SAM000181587,SCT000000268,LIB046510_TRA00182901_S18_quant,blood,Homo sapiens,95,72
SAM000181586,SCT000000268,LIB046510_TRA00182899_S17_quant,blood,Homo sapiens,95,72
SAM000181585,SCT000000268,LIB046510_TRA00182897_S16_quant,blood,Homo sapiens,95,72
SAM000181584,SCT000000268,LIB046510_TRA00182895_S15_quant,blood,Homo sapiens,95,72
SAM000181583,SCT000000268,LIB046510_TRA00182885_S14_quant,liver,Homo sapiens,95,72
SAM000181582,SCT000000268,LIB046510_TRA00182883_S13_quant,liver,Homo sapiens,95,72
SAM000181571,SCT000000268,LIB046510_TRA00182837_S2_quant,blood,Homo sapiens,95,72
SAM000181581,SCT000000268,LIB046510_TRA00182881_S12_quant,liver,Homo sapiens,95,72
SAM000181579,SCT000000268,LIB046510_TRA00182869_S10_quant,blood,Homo sapiens,95,72
SAM000181578,SCT000000268,LIB046510_TRA00182867_S9_quant,blood,Homo sapiens,95,72
SAM000181576,SCT000000268,LIB046510_TRA00182859_S7_quant,blood,Homo sapiens,95,72
SAM000181575,SCT000000268,LIB046510_TRA00182853_S6_quant,liver,Homo sapiens,95,72
SAM000181574,SCT000000268,LIB046510_TRA00182851_S5_quant,liver,Homo sapiens,95,72
SAM000181573,SCT000000268,LIB046510_TRA00182841_S4_quant,liver,Homo sapiens,95,72
SAM000181580,SCT000000268,LIB046510_TRA00182879_S11_quant,liver,Homo sapiens,95,72
SAM000181552,SCT000000268,LIB046508_TRA00186676_S19_quant,blood,Homo sapiens,95,72
SAM000181564,SCT000000268,LIB046509_TRA00182882_S13_quant,liver,Homo sapiens,95,72
SAM000181550,SCT000000268,LIB046508_TRA00182891_S17_quant,blood,Homo sapiens,95,72
SAM000181531,SCT000000268,LIB046507_TRA00182888_S16_quant,blood,Homo sapiens,95,72
SAM000181530,SCT000000268,LIB046507_TRA00182886_S15_quant,blood,Homo sapiens,95,72
SAM000181529,SCT000000268,LIB046507_TRA00182876_S14_quant,liver,Homo sapiens,95,72
SAM000181528,SCT000000268,LIB046507_TRA00182874_S13_quant,liver,Homo sapiens,95,72
SAM000181527,SCT000000268,LIB046507_TRA00182872_S12_quant,liver,Homo sapiens,95,72
SAM000181526,SCT000000268,LIB046507_TRA00182870_S11_quant,liver,Homo sapiens,95,72
SAM000181532,SCT000000268,LIB046507_TRA00182890_S17_quant,blood,Homo sapiens,95,72
SAM000181525,SCT000000268,LIB046507_TRA00182864_S10_quant,blood,Homo sapiens,95,72
SAM000181551,SCT000000268,LIB046508_TRA00182893_S18_quant,blood,Homo sapiens,95,72
SAM000181522,SCT000000268,LIB046507_TRA00182854_S7_quant,blood,Homo sapiens,95,72
SAM000181521,SCT000000268,LIB046507_TRA00182848_S6_quant,liver,Homo sapiens,95,72
SAM000181520,SCT000000268,LIB046507_TRA00182846_S5_quant,liver,Homo sapiens,95,72
SAM000181519,SCT000000268,LIB046507_TRA00182844_S4_quant,liver,Homo sapiens,95,72
SAM000181518,SCT000000268,LIB046507_TRA00182842_S3_quant,liver,Homo sapiens,95,72
SAM000181524,SCT000000268,LIB046507_TRA00182862_S9_quant,blood,Homo sapiens,95,72
SAM000181533,SCT000000268,LIB046507_TRA00182892_S18_quant,blood,Homo sapiens,95,72
