sample_name,sample_id,cell_number
RHP4837 scRNA-Seq,SAM000183233,2036
RHP4838 scRNA-Seq,SAM000183234,2036
RHP4839 scRNA-Seq,SAM000183235,2036
RHP4840 scRNA-Seq,SAM000183236,2036
RHP4841 scRNA-Seq,SAM000183237,2036
RHP4842 scRNA-Seq,SAM000183238,2036
RHP4843 scRNA-Seq,SAM000183239,2036
RHP4844 scRNA-Seq,SAM000183240,2036
RHP4845 scRNA-Seq,SAM000183241,2036
RHP4846 scRNA-Seq,SAM000183242,2036
RHP4847 scRNA-Seq,SAM000183243,2036
RHP4848 scRNA-Seq,SAM000183244,2036
RHP4849 scRNA-Seq,SAM000183245,2036
RHP4850 scRNA-Seq,SAM000183246,2036
RHP4851 scRNA-Seq,SAM000183247,2036
RHP4852 scRNA-Seq,SAM000183248,2036
RHP4853 scRNA-Seq,SAM000183249,2036
RHP4854 scRNA-Seq,SAM000183250,2036
RHP4855 scRNA-Seq,SAM000183251,2036
RHP4856 scRNA-Seq,SAM000183252,2036
RHP4857 scRNA-Seq,SAM000183253,2036
RHP4858 scRNA-Seq,SAM000183254,2036
RHP4859 scRNA-Seq,SAM000183255,2036
RHP4860 scRNA-Seq,SAM000183256,2036
RHP4861 scRNA-Seq,SAM000183257,2036
RHP4862 scRNA-Seq,SAM000183258,2036
RHP4863 scRNA-Seq,SAM000183259,2036
RHP4864 scRNA-Seq,SAM000183260,2036
RHP4865 scRNA-Seq,SAM000183261,2036
RHP4866 scRNA-Seq,SAM000183262,2036
RHP4867 scRNA-Seq,SAM000183263,2036
RHP4868 scRNA-Seq,SAM000183264,2036
RHP4869 scRNA-Seq,SAM000183265,2036
RHP4870 scRNA-Seq,SAM000183266,2036
RHP4871 scRNA-Seq,SAM000183267,2036
RHP4872 scRNA-Seq,SAM000183268,2036
RHP4873 scRNA-Seq,SAM000183269,2036
RHP4874 scRNA-Seq,SAM000183270,2036
RHP4875 scRNA-Seq,SAM000183271,2036
RHP4876 scRNA-Seq,SAM000183272,2036
RHP4877 scRNA-Seq,SAM000183273,2036
RHP4878 scRNA-Seq,SAM000183274,2036
RHP4879 scRNA-Seq,SAM000183275,2036
RHP4880 scRNA-Seq,SAM000183276,2036
RHP4881 scRNA-Seq,SAM000183277,2036
RHP4882 scRNA-Seq,SAM000183278,2036
RHP4883 scRNA-Seq,SAM000183279,2036
RHP4884 scRNA-Seq,SAM000183280,2036
RHP4885 scRNA-Seq,SAM000183281,2036
RHP4886 scRNA-Seq,SAM000183282,2036
RHP4887 scRNA-Seq,SAM000183283,2036
RHP4888 scRNA-Seq,SAM000183284,2036
RHP4889 scRNA-Seq,SAM000183285,2036
RHP4890 scRNA-Seq,SAM000183286,2036
RHP4891 scRNA-Seq,SAM000183287,2036
RHP4968 scRNA-Seq,SAM000183364,2036
RHP4969 scRNA-Seq,SAM000183365,2036
RHP4970 scRNA-Seq,SAM000183366,2036
RHP4971 scRNA-Seq,SAM000183367,2036
RHP4972 scRNA-Seq,SAM000183368,2036
RHP4973 scRNA-Seq,SAM000183369,2036
RHP4974 scRNA-Seq,SAM000183370,2036
RHP4975 scRNA-Seq,SAM000183371,2036
RHP4977 scRNA-Seq,SAM000183373,2036
RHP4978 scRNA-Seq,SAM000183374,2036
RHP4979 scRNA-Seq,SAM000183375,2036
RHP4980 scRNA-Seq,SAM000183376,2036
RHP4981 scRNA-Seq,SAM000183377,2036
RHP4982 scRNA-Seq,SAM000183378,2036
RHP4983 scRNA-Seq,SAM000183379,2036
RHP4984 scRNA-Seq,SAM000183380,2036
RHP4987 scRNA-Seq,SAM000183383,2036
RHP4988 scRNA-Seq,SAM000183384,2036
RHP4989 scRNA-Seq,SAM000183385,2036
RHP4990 scRNA-Seq,SAM000183386,2036
RHP4991 scRNA-Seq,SAM000183387,2036
RHP4992 scRNA-Seq,SAM000183388,2036
RHP4993 scRNA-Seq,SAM000183389,2036
RHP4994 scRNA-Seq,SAM000183390,2036
RHP4995 scRNA-Seq,SAM000183391,2036
RHP4996 scRNA-Seq,SAM000183392,2036
RHP4997 scRNA-Seq,SAM000183393,2036
RHP4998 scRNA-Seq,SAM000183394,2036
RHP4999 scRNA-Seq,SAM000183395,2036
RHP5000 scRNA-Seq,SAM000183396,2036
RHP5001 scRNA-Seq,SAM000183397,2036
RHP5002 scRNA-Seq,SAM000183398,2036
RHP5003 scRNA-Seq,SAM000183399,2036
RHP5004 scRNA-Seq,SAM000183400,2036
RHP5005 scRNA-Seq,SAM000183401,2036
RHP5007 scRNA-Seq,SAM000183403,2036
RHP5009 scRNA-Seq,SAM000183405,2036
RHP5010 scRNA-Seq,SAM000183406,2036
RHP5011 scRNA-Seq,SAM000183407,2036
RHP5012 scRNA-Seq,SAM000183408,2036
RHP5013 scRNA-Seq,SAM000183409,2036
RHP5014 scRNA-Seq,SAM000183410,2036
RHP5015 scRNA-Seq,SAM000183411,2036
RHP5016 scRNA-Seq,SAM000183412,2036
RHP5017 scRNA-Seq,SAM000183413,2036
RHP5018 scRNA-Seq,SAM000183414,2036
RHP5019 scRNA-Seq,SAM000183415,2036
RHP5020 scRNA-Seq,SAM000183416,2036
RHP5021 scRNA-Seq,SAM000183417,2036
RHP5022 scRNA-Seq,SAM000183418,2036
RHP5024 scRNA-Seq,SAM000183420,2036
RHP5025 scRNA-Seq,SAM000183421,2036
RHP5026 scRNA-Seq,SAM000183422,2036
RHP5027 scRNA-Seq,SAM000183423,2036
RHP5028 scRNA-Seq,SAM000183424,2036
RHP5029 scRNA-Seq,SAM000183425,2036
RHP5030 scRNA-Seq,SAM000183426,2036
RHP5031 scRNA-Seq,SAM000183427,2036
RHP5032 scRNA-Seq,SAM000183428,2036
RHP5033 scRNA-Seq,SAM000183429,2036
RHP5034 scRNA-Seq,SAM000183430,2036
RHP5035 scRNA-Seq,SAM000183431,2036
RHP5036 scRNA-Seq,SAM000183432,2036
RHP5037 scRNA-Seq,SAM000183433,2036
RHP5038 scRNA-Seq,SAM000183434,2036
RHP5040 scRNA-Seq,SAM000183436,2036
RHP5041 scRNA-Seq,SAM000183437,2036
RHP5042 scRNA-Seq,SAM000183438,2036
RHP5043 scRNA-Seq,SAM000183439,2036
RHP5044 scRNA-Seq,SAM000183440,2036
RHP5045 scRNA-Seq,SAM000183441,2036
RHP5046 scRNA-Seq,SAM000183442,2036
RHP5047 scRNA-Seq,SAM000183443,2036
RHP5048 scRNA-Seq,SAM000183444,2036
RHP5049 scRNA-Seq,SAM000183445,2036
RHP5050 scRNA-Seq,SAM000183446,2036
RHP5051 scRNA-Seq,SAM000183447,2036
RHP5052 scRNA-Seq,SAM000183448,2036
RHP5053 scRNA-Seq,SAM000183449,2036
RHP5054 scRNA-Seq,SAM000183450,2036
RHP5055 scRNA-Seq,SAM000183451,2036
RHP5056 scRNA-Seq,SAM000183452,2036
RHP5057 scRNA-Seq,SAM000183453,2036
RHP5058 scRNA-Seq,SAM000183454,2036
RHP5059 scRNA-Seq,SAM000183455,2036
RHP5060 scRNA-Seq,SAM000183456,2036
RHP5061 scRNA-Seq,SAM000183457,2036
RHP5062 scRNA-Seq,SAM000183458,2036
RHP5063 scRNA-Seq,SAM000183459,2036
RHP5064 scRNA-Seq,SAM000183460,2036
RHP5065 scRNA-Seq,SAM000183461,2036
RHP5066 scRNA-Seq,SAM000183462,2036
RHP5067 scRNA-Seq,SAM000183463,2036
RHP5068 scRNA-Seq,SAM000183464,2036
RHP5069 scRNA-Seq,SAM000183465,2036
RHP5070 scRNA-Seq,SAM000183466,2036
RHP5071 scRNA-Seq,SAM000183467,2036
RHP5072 scRNA-Seq,SAM000183468,2036
RHP5073 scRNA-Seq,SAM000183469,2036
RHP5075 scRNA-Seq,SAM000183471,2036
RHP5076 scRNA-Seq,SAM000183472,2036
RHP5077 scRNA-Seq,SAM000183473,2036
RHP5078 scRNA-Seq,SAM000183474,2036
RHP5079 scRNA-Seq,SAM000183475,2036
RHP5080 scRNA-Seq,SAM000183476,2036
RHP5081 scRNA-Seq,SAM000183477,2036
RHP5082 scRNA-Seq,SAM000183478,2036
RHP5083 scRNA-Seq,SAM000183479,2036
RHP5084 scRNA-Seq,SAM000183480,2036
RHP5085 scRNA-Seq,SAM000183481,2036
RHP5086 scRNA-Seq,SAM000183482,2036
RHP5087 scRNA-Seq,SAM000183483,2036
RHP5088 scRNA-Seq,SAM000183484,2036
RHP5089 scRNA-Seq,SAM000183485,2036
RHP5090 scRNA-Seq,SAM000183486,2036
RHP5091 scRNA-Seq,SAM000183487,2036
RHP5092 scRNA-Seq,SAM000183488,2036
RHP5093 scRNA-Seq,SAM000183489,2036
RHP5094 scRNA-Seq,SAM000183490,2036
RHP5095 scRNA-Seq,SAM000183491,2036
RHP5096 scRNA-Seq,SAM000183492,2036
RHP5097 scRNA-Seq,SAM000183493,2036
RHP5098 scRNA-Seq,SAM000183494,2036
RHP5099 scRNA-Seq,SAM000183495,2036
RHP5101 scRNA-Seq,SAM000183497,2036
RHP5102 scRNA-Seq,SAM000183498,2036
RHP5103 scRNA-Seq,SAM000183499,2036
RHP5104 scRNA-Seq,SAM000183500,2036
RHP5105 scRNA-Seq,SAM000183501,2036
RHP5106 scRNA-Seq,SAM000183502,2036
RHP5107 scRNA-Seq,SAM000183503,2036
RHP5108 scRNA-Seq,SAM000183504,2036
RHP5109 scRNA-Seq,SAM000183505,2036
RHP5110 scRNA-Seq,SAM000183506,2036
RHP5111 scRNA-Seq,SAM000183507,2036
RHP5112 scRNA-Seq,SAM000183508,2036
RHP5113 scRNA-Seq,SAM000183509,2036
RHP5114 scRNA-Seq,SAM000183510,2036
RHP5115 scRNA-Seq,SAM000183511,2036
RHP5116 scRNA-Seq,SAM000183512,2036
RHP5117 scRNA-Seq,SAM000183513,2036
RHP5118 scRNA-Seq,SAM000183514,2036
RHP5119 scRNA-Seq,SAM000183515,2036
RHP5120 scRNA-Seq,SAM000183516,2036
RHP5121 scRNA-Seq,SAM000183517,2036
RHP5122 scRNA-Seq,SAM000183518,2036
RHP5123 scRNA-Seq,SAM000183519,2036
RHP5124 scRNA-Seq,SAM000183520,2036
RHP5125 scRNA-Seq,SAM000183521,2036
RHP5126 scRNA-Seq,SAM000183522,2036
RHP5127 scRNA-Seq,SAM000183523,2036
RHP5128 scRNA-Seq,SAM000183524,2036
RHP5129 scRNA-Seq,SAM000183525,2036
RHP5130 scRNA-Seq,SAM000183526,2036
RHP5131 scRNA-Seq,SAM000183527,2036
RHP5132 scRNA-Seq,SAM000183528,2036
RHP5134 scRNA-Seq,SAM000183530,2036
RHP5135 scRNA-Seq,SAM000183531,2036
RHP5137 scRNA-Seq,SAM000183533,2036
RHP5138 scRNA-Seq,SAM000183534,2036
RHP5139 scRNA-Seq,SAM000183535,2036
RHP5140 scRNA-Seq,SAM000183536,2036
RHP5141 scRNA-Seq,SAM000183537,2036
RHP5142 scRNA-Seq,SAM000183538,2036
RHM5691 scRNA-Seq,SAM000182536,2036
RHM5692 scRNA-Seq,SAM000182537,2036
RHM5693 scRNA-Seq,SAM000182538,2036
RHM5694 scRNA-Seq,SAM000182539,2036
RHM5695 scRNA-Seq,SAM000182540,2036
RHM5696 scRNA-Seq,SAM000182541,2036
RHM5697 scRNA-Seq,SAM000182542,2036
RHM5698 scRNA-Seq,SAM000182543,2036
RHM5699 scRNA-Seq,SAM000182544,2036
RHM5700 scRNA-Seq,SAM000182545,2036
RHM5701 scRNA-Seq,SAM000182546,2036
RHM5702 scRNA-Seq,SAM000182547,2036
RHM5703 scRNA-Seq,SAM000182548,2036
RHM5704 scRNA-Seq,SAM000182549,2036
RHM5705 scRNA-Seq,SAM000182550,2036
RHM5706 scRNA-Seq,SAM000182551,2036
RHM5707 scRNA-Seq,SAM000182552,2036
RHM5708 scRNA-Seq,SAM000182553,2036
RHM5709 scRNA-Seq,SAM000182554,2036
RHM5710 scRNA-Seq,SAM000182555,2036
RHM5711 scRNA-Seq,SAM000182556,2036
RHM5712 scRNA-Seq,SAM000182557,2036
RHM5713 scRNA-Seq,SAM000182558,2036
RHM5714 scRNA-Seq,SAM000182559,2036
RHM5715 scRNA-Seq,SAM000182560,2036
RHM5717 scRNA-Seq,SAM000182562,2036
RHM5718 scRNA-Seq,SAM000182563,2036
RHM5719 scRNA-Seq,SAM000182564,2036
RHM5720 scRNA-Seq,SAM000182565,2036
RHM5721 scRNA-Seq,SAM000182566,2036
RHM5722 scRNA-Seq,SAM000182567,2036
RHM5723 scRNA-Seq,SAM000182568,2036
RHM5724 scRNA-Seq,SAM000182569,2036
RHM5725 scRNA-Seq,SAM000182570,2036
RHM5726 scRNA-Seq,SAM000182571,2036
RHM5727 scRNA-Seq,SAM000182572,2036
RHM5728 scRNA-Seq,SAM000182573,2036
RHM5729 scRNA-Seq,SAM000182574,2036
RHM5730 scRNA-Seq,SAM000182575,2036
RHM5732 scRNA-Seq,SAM000182577,2036
RHM5733 scRNA-Seq,SAM000182578,2036
RHM5734 scRNA-Seq,SAM000182579,2036
RHM5735 scRNA-Seq,SAM000182580,2036
RHM5736 scRNA-Seq,SAM000182581,2036
RHM5738 scRNA-Seq,SAM000182583,2036
RHM5739 scRNA-Seq,SAM000182584,2036
RHM5740 scRNA-Seq,SAM000182585,2036
RHM5741 scRNA-Seq,SAM000182586,2036
RHM5742 scRNA-Seq,SAM000182587,2036
RHM5743 scRNA-Seq,SAM000182588,2036
RHM5744 scRNA-Seq,SAM000182589,2036
RHM5745 scRNA-Seq,SAM000182590,2036
RHM5747 scRNA-Seq,SAM000182592,2036
RHM5748 scRNA-Seq,SAM000182593,2036
RHM5749 scRNA-Seq,SAM000182594,2036
RHM5750 scRNA-Seq,SAM000182595,2036
RHM5751 scRNA-Seq,SAM000182596,2036
RHM5752 scRNA-Seq,SAM000182597,2036
RHM5753 scRNA-Seq,SAM000182598,2036
RHM5754 scRNA-Seq,SAM000182599,2036
RHM5755 scRNA-Seq,SAM000182600,2036
RHM5756 scRNA-Seq,SAM000182601,2036
RHM5757 scRNA-Seq,SAM000182602,2036
RHM5758 scRNA-Seq,SAM000182603,2036
RHM5759 scRNA-Seq,SAM000182604,2036
RHM5760 scRNA-Seq,SAM000182605,2036
RHM5761 scRNA-Seq,SAM000182606,2036
RHM5762 scRNA-Seq,SAM000182607,2036
RHM5763 scRNA-Seq,SAM000182608,2036
RHM5764 scRNA-Seq,SAM000182609,2036
RHM5766 scRNA-Seq,SAM000182611,2036
RHM5767 scRNA-Seq,SAM000182612,2036
RHM5787 scRNA-Seq,SAM000182613,2036
RHM5788 scRNA-Seq,SAM000182614,2036
RHM5789 scRNA-Seq,SAM000182615,2036
RHM5790 scRNA-Seq,SAM000182616,2036
RHM5791 scRNA-Seq,SAM000182617,2036
RHM5792 scRNA-Seq,SAM000182618,2036
RHM5793 scRNA-Seq,SAM000182619,2036
RHM5794 scRNA-Seq,SAM000182620,2036
RHM5796 scRNA-Seq,SAM000182622,2036
RHM5797 scRNA-Seq,SAM000182623,2036
RHM5798 scRNA-Seq,SAM000182624,2036
RHM5799 scRNA-Seq,SAM000182625,2036
RHM5800 scRNA-Seq,SAM000182626,2036
RHM5801 scRNA-Seq,SAM000182627,2036
RHM5802 scRNA-Seq,SAM000182628,2036
RHM5803 scRNA-Seq,SAM000182629,2036
RHM5804 scRNA-Seq,SAM000182630,2036
RHM5805 scRNA-Seq,SAM000182631,2036
RHM5806 scRNA-Seq,SAM000182632,2036
RHM5807 scRNA-Seq,SAM000182633,2036
RHM5808 scRNA-Seq,SAM000182634,2036
RHM5809 scRNA-Seq,SAM000182635,2036
RHM5811 scRNA-Seq,SAM000182637,2036
RHM5812 scRNA-Seq,SAM000182638,2036
RHM5813 scRNA-Seq,SAM000182639,2036
RHM5814 scRNA-Seq,SAM000182640,2036
RHM5815 scRNA-Seq,SAM000182641,2036
RHM5817 scRNA-Seq,SAM000182643,2036
RHM5819 scRNA-Seq,SAM000182645,2036
RHM5820 scRNA-Seq,SAM000182646,2036
RHM5821 scRNA-Seq,SAM000182647,2036
RHM5822 scRNA-Seq,SAM000182648,2036
RHM5823 scRNA-Seq,SAM000182649,2036
RHM5824 scRNA-Seq,SAM000182650,2036
RHM5825 scRNA-Seq,SAM000182651,2036
RHM5826 scRNA-Seq,SAM000182652,2036
RHM5827 scRNA-Seq,SAM000182653,2036
RHM5828 scRNA-Seq,SAM000182654,2036
RHM5829 scRNA-Seq,SAM000182655,2036
RHM5830 scRNA-Seq,SAM000182656,2036
RHM5831 scRNA-Seq,SAM000182657,2036
RHM5832 scRNA-Seq,SAM000182658,2036
RHM5834 scRNA-Seq,SAM000182660,2036
RHM5835 scRNA-Seq,SAM000182661,2036
RHM5836 scRNA-Seq,SAM000182662,2036
RHM5837 scRNA-Seq,SAM000182663,2036
RHM5838 scRNA-Seq,SAM000182664,2036
RHM5839 scRNA-Seq,SAM000182665,2036
RHM5840 scRNA-Seq,SAM000182666,2036
RHM5841 scRNA-Seq,SAM000182667,2036
RHM5842 scRNA-Seq,SAM000182668,2036
RHM5843 scRNA-Seq,SAM000182669,2036
RHM5844 scRNA-Seq,SAM000182670,2036
RHM5845 scRNA-Seq,SAM000182671,2036
RHM5848 scRNA-Seq,SAM000182674,2036
RHM5849 scRNA-Seq,SAM000182675,2036
RHM5851 scRNA-Seq,SAM000182677,2036
RHM5852 scRNA-Seq,SAM000182678,2036
RHM5853 scRNA-Seq,SAM000182679,2036
RHM5854 scRNA-Seq,SAM000182680,2036
RHM5855 scRNA-Seq,SAM000182681,2036
RHM5856 scRNA-Seq,SAM000182682,2036
RHM5857 scRNA-Seq,SAM000182683,2036
RHM5858 scRNA-Seq,SAM000182684,2036
RHM5859 scRNA-Seq,SAM000182685,2036
RHM5860 scRNA-Seq,SAM000182686,2036
RHM5861 scRNA-Seq,SAM000182687,2036
RHM5862 scRNA-Seq,SAM000182688,2036
RHM5863 scRNA-Seq,SAM000182689,2036
RHM5864 scRNA-Seq,SAM000182690,2036
RHM5865 scRNA-Seq,SAM000182691,2036
RHM5866 scRNA-Seq,SAM000182692,2036
RHM5867 scRNA-Seq,SAM000182693,2036
RHM5868 scRNA-Seq,SAM000182694,2036
RHM5869 scRNA-Seq,SAM000182695,2036
RHM5870 scRNA-Seq,SAM000182696,2036
RHM5871 scRNA-Seq,SAM000182697,2036
RHM5872 scRNA-Seq,SAM000182698,2036
RHM5873 scRNA-Seq,SAM000182699,2036
RHM5874 scRNA-Seq,SAM000182700,2036
RHM5875 scRNA-Seq,SAM000182701,2036
RHM5876 scRNA-Seq,SAM000182702,2036
RHM5877 scRNA-Seq,SAM000182703,2036
RHM5878 scRNA-Seq,SAM000182704,2036
RHM5879 scRNA-Seq,SAM000182705,2036
RHM5881 scRNA-Seq,SAM000182707,2036
RHM5882 scRNA-Seq,SAM000182708,2036
RHO1135 scRNA-Seq,SAM000183854,2036
RHO1136 scRNA-Seq,SAM000183855,2036
RHO1137 scRNA-Seq,SAM000183856,2036
RHO1139 scRNA-Seq,SAM000183858,2036
RHO1140 scRNA-Seq,SAM000183859,2036
RHO1141 scRNA-Seq,SAM000183860,2036
RHO1142 scRNA-Seq,SAM000183861,2036
RHO1143 scRNA-Seq,SAM000183862,2036
RHO1144 scRNA-Seq,SAM000183863,2036
RHO1146 scRNA-Seq,SAM000183865,2036
RHO1147 scRNA-Seq,SAM000183866,2036
RHO1149 scRNA-Seq,SAM000183868,2036
RHO1152 scRNA-Seq,SAM000183871,2036
RHO1153 scRNA-Seq,SAM000183872,2036
RHO1154 scRNA-Seq,SAM000183873,2036
RHO1155 scRNA-Seq,SAM000183874,2036
RHO1158 scRNA-Seq,SAM000183877,2036
RHO1160 scRNA-Seq,SAM000183879,2036
RHO1164 scRNA-Seq,SAM000183883,2036
RHP3986 scRNA-Seq,SAM000182709,2036
RHP3987 scRNA-Seq,SAM000182710,2036
RHP3988 scRNA-Seq,SAM000182711,2036
RHP3989 scRNA-Seq,SAM000182712,2036
RHP3990 scRNA-Seq,SAM000182713,2036
RHP3991 scRNA-Seq,SAM000182714,2036
RHP3992 scRNA-Seq,SAM000182715,2036
RHP3993 scRNA-Seq,SAM000182716,2036
RHP3994 scRNA-Seq,SAM000182717,2036
RHP3995 scRNA-Seq,SAM000182718,2036
RHP3997 scRNA-Seq,SAM000182720,2036
RHP3999 scRNA-Seq,SAM000182722,2036
RHP4000 scRNA-Seq,SAM000182723,2036
RHP4001 scRNA-Seq,SAM000182724,2036
RHP4002 scRNA-Seq,SAM000182725,2036
RHP4003 scRNA-Seq,SAM000182726,2036
RHP4004 scRNA-Seq,SAM000182727,2036
RHP4005 scRNA-Seq,SAM000182728,2036
RHP4006 scRNA-Seq,SAM000182729,2036
RHP4007 scRNA-Seq,SAM000182730,2036
RHP4008 scRNA-Seq,SAM000182731,2036
RHP4009 scRNA-Seq,SAM000182732,2036
RHP4010 scRNA-Seq,SAM000182733,2036
RHP4011 scRNA-Seq,SAM000182734,2036
RHP4012 scRNA-Seq,SAM000182735,2036
RHP4013 scRNA-Seq,SAM000182736,2036
RHP4051 scRNA-Seq,SAM000182737,2036
RHP4052 scRNA-Seq,SAM000182738,2036
RHP4053 scRNA-Seq,SAM000182739,2036
RHP4054 scRNA-Seq,SAM000182740,2036
RHP4055 scRNA-Seq,SAM000182741,2036
RHP4056 scRNA-Seq,SAM000182742,2036
RHP4057 scRNA-Seq,SAM000182743,2036
RHP4058 scRNA-Seq,SAM000182744,2036
RHP4059 scRNA-Seq,SAM000182745,2036
RHP4060 scRNA-Seq,SAM000182746,2036
RHP4061 scRNA-Seq,SAM000182747,2036
RHP4062 scRNA-Seq,SAM000182748,2036
RHP4063 scRNA-Seq,SAM000182749,2036
RHP4064 scRNA-Seq,SAM000182750,2036
RHP4065 scRNA-Seq,SAM000182751,2036
RHP4066 scRNA-Seq,SAM000182752,2036
RHP4067 scRNA-Seq,SAM000182753,2036
RHP4068 scRNA-Seq,SAM000182754,2036
RHP4069 scRNA-Seq,SAM000182755,2036
RHP4070 scRNA-Seq,SAM000182756,2036
RHP4071 scRNA-Seq,SAM000182757,2036
RHP4072 scRNA-Seq,SAM000182758,2036
RHP4073 scRNA-Seq,SAM000182759,2036
RHP4074 scRNA-Seq,SAM000182760,2036
RHP4075 scRNA-Seq,SAM000182761,2036
RHP4076 scRNA-Seq,SAM000182762,2036
RHP4077 scRNA-Seq,SAM000182763,2036
RHP4078 scRNA-Seq,SAM000182764,2036
RHP4079 scRNA-Seq,SAM000182765,2036
RHP4080 scRNA-Seq,SAM000182766,2036
RHP4081 scRNA-Seq,SAM000182767,2036
RHP4084 scRNA-Seq,SAM000182770,2036
RHP4085 scRNA-Seq,SAM000182771,2036
RHP4086 scRNA-Seq,SAM000182772,2036
RHP4087 scRNA-Seq,SAM000182773,2036
RHP4088 scRNA-Seq,SAM000182774,2036
RHP4089 scRNA-Seq,SAM000182775,2036
RHP4090 scRNA-Seq,SAM000182776,2036
RHP4091 scRNA-Seq,SAM000182777,2036
RHP4092 scRNA-Seq,SAM000182778,2036
RHP4093 scRNA-Seq,SAM000182779,2036
RHP4094 scRNA-Seq,SAM000182780,2036
RHP4095 scRNA-Seq,SAM000182781,2036
RHP4096 scRNA-Seq,SAM000182782,2036
RHP4097 scRNA-Seq,SAM000182783,2036
RHP4098 scRNA-Seq,SAM000182784,2036
RHP4099 scRNA-Seq,SAM000182785,2036
RHP4100 scRNA-Seq,SAM000182786,2036
RHP4101 scRNA-Seq,SAM000182787,2036
RHP4102 scRNA-Seq,SAM000182788,2036
RHP4103 scRNA-Seq,SAM000182789,2036
RHP4104 scRNA-Seq,SAM000182790,2036
RHP4105 scRNA-Seq,SAM000182791,2036
RHP4106 scRNA-Seq,SAM000182792,2036
RHP4107 scRNA-Seq,SAM000182793,2036
RHP4108 scRNA-Seq,SAM000182794,2036
RHP4109 scRNA-Seq,SAM000182795,2036
RHP4110 scRNA-Seq,SAM000182796,2036
RHP4111 scRNA-Seq,SAM000182797,2036
RHP4112 scRNA-Seq,SAM000182798,2036
RHP4113 scRNA-Seq,SAM000182799,2036
RHP4114 scRNA-Seq,SAM000182800,2036
RHP4115 scRNA-Seq,SAM000182801,2036
RHP4116 scRNA-Seq,SAM000182802,2036
RHP4117 scRNA-Seq,SAM000182803,2036
RHP4118 scRNA-Seq,SAM000182804,2036
RHP4119 scRNA-Seq,SAM000182805,2036
RHP4120 scRNA-Seq,SAM000182806,2036
RHP4121 scRNA-Seq,SAM000182807,2036
RHP4122 scRNA-Seq,SAM000182808,2036
RHP4123 scRNA-Seq,SAM000182809,2036
RHP4125 scRNA-Seq,SAM000182811,2036
RHP4126 scRNA-Seq,SAM000182812,2036
RHP4127 scRNA-Seq,SAM000182813,2036
RHP4128 scRNA-Seq,SAM000182814,2036
RHP4129 scRNA-Seq,SAM000182815,2036
RHP4130 scRNA-Seq,SAM000182816,2036
RHP4131 scRNA-Seq,SAM000182817,2036
RHP4132 scRNA-Seq,SAM000182818,2036
RHP4133 scRNA-Seq,SAM000182819,2036
RHP4134 scRNA-Seq,SAM000182820,2036
RHP4135 scRNA-Seq,SAM000182821,2036
RHP4136 scRNA-Seq,SAM000182822,2036
RHP4137 scRNA-Seq,SAM000182823,2036
RHP4138 scRNA-Seq,SAM000182824,2036
RHP4139 scRNA-Seq,SAM000182825,2036
RHP4140 scRNA-Seq,SAM000182826,2036
RHP4141 scRNA-Seq,SAM000182827,2036
RHP4142 scRNA-Seq,SAM000182828,2036
RHP4434 scRNA-Seq,SAM000182830,2036
RHP4467 scRNA-Seq,SAM000182863,2036
RHP4468 scRNA-Seq,SAM000182864,2036
RHP4498 scRNA-Seq,SAM000182894,2036
RHP4511 scRNA-Seq,SAM000182907,2036
RHP4600 scRNA-Seq,SAM000182996,2036
RHP4757 scRNA-Seq,SAM000183153,2036
RHP4758 scRNA-Seq,SAM000183154,2036
RHP4764 scRNA-Seq,SAM000183160,2036
RHP4794 scRNA-Seq,SAM000183190,2036
RHP4893 scRNA-Seq,SAM000183289,2036
RHP4894 scRNA-Seq,SAM000183290,2036
RHP4895 scRNA-Seq,SAM000183291,2036
RHP4897 scRNA-Seq,SAM000183293,2036
RHP4898 scRNA-Seq,SAM000183294,2036
RHP4899 scRNA-Seq,SAM000183295,2036
RHP4900 scRNA-Seq,SAM000183296,2036
RHP4901 scRNA-Seq,SAM000183297,2036
RHP4902 scRNA-Seq,SAM000183298,2036
RHP4903 scRNA-Seq,SAM000183299,2036
RHP4904 scRNA-Seq,SAM000183300,2036
RHP4905 scRNA-Seq,SAM000183301,2036
RHP4906 scRNA-Seq,SAM000183302,2036
RHP4907 scRNA-Seq,SAM000183303,2036
RHP4908 scRNA-Seq,SAM000183304,2036
RHP4909 scRNA-Seq,SAM000183305,2036
RHP4910 scRNA-Seq,SAM000183306,2036
RHP4911 scRNA-Seq,SAM000183307,2036
RHP4912 scRNA-Seq,SAM000183308,2036
RHP4913 scRNA-Seq,SAM000183309,2036
RHP4914 scRNA-Seq,SAM000183310,2036
RHP4915 scRNA-Seq,SAM000183311,2036
RHP4916 scRNA-Seq,SAM000183312,2036
RHP4917 scRNA-Seq,SAM000183313,2036
RHP4918 scRNA-Seq,SAM000183314,2036
RHP4919 scRNA-Seq,SAM000183315,2036
RHP4920 scRNA-Seq,SAM000183316,2036
RHP4921 scRNA-Seq,SAM000183317,2036
RHP4922 scRNA-Seq,SAM000183318,2036
RHP4923 scRNA-Seq,SAM000183319,2036
RHP4924 scRNA-Seq,SAM000183320,2036
RHP4925 scRNA-Seq,SAM000183321,2036
RHP4926 scRNA-Seq,SAM000183322,2036
RHP4927 scRNA-Seq,SAM000183323,2036
RHP4928 scRNA-Seq,SAM000183324,2036
RHP4929 scRNA-Seq,SAM000183325,2036
RHP4930 scRNA-Seq,SAM000183326,2036
